card_id,customer_id,account_id,amount,status,type,date,branch,remarks,flag
CA165,C1164,A2164,36578.35,ACTIVE,LOAN,2021-05-28,B2,OK,Y
CA166,C1165,A2165,43326.16,PENDING,CURRENT,2020-02-19,B3,OK,Y
CA167,C1166,A2166,28817.25,ACTIVE,CURRENT,2023-01-08,B14,OK,N
CA168,C1167,A2167,30165.62,ACTIVE,SAVINGS,2020-04-22,B1,OK,N
CA169,C1168,A2168,36253.72,PENDING,LOAN,2024-07-19,B3,OK,Y
CA170,C1169,A2169,6141.65,ACTIVE,SAVINGS,2021-06-07,B8,OK,Y
CA171,C1170,A2170,33837.34,ACTIVE,CURRENT,2022-04-12,B12,OK,N
CA172,C1171,A2171,19228.61,ACTIVE,CURRENT,2024-01-13,B18,OK,Y
CA173,C1172,A2172,36194.41,ACTIVE,CURRENT,2021-03-23,B4,OK,N
CA174,C1173,A2173,8413.89,PENDING,SAVINGS,2021-10-11,B18,OK,N
CA175,C1174,A2174,40295.45,ACTIVE,SAVINGS,2020-11-28,B11,OK,N
CA176,C1175,A2175,30991.38,ACTIVE,SAVINGS,2021-01-18,B18,,N
CA177,C1176,A2176,10162.56,INACTIVE,SAVINGS,2020-08-15,B7,OK,N
CA178,C1177,A2177,27997.76,INACTIVE,SAVINGS,2020-05-14,B10,OK,N
CA179,C1178,A2178,25111.83,ACTIVE,LOAN,2024-01-22,B2,OK,N
CA180,C1179,A2179,16261.61,PENDING,LOAN,2024-09-24,B5,OK,N
CA181,C1180,A2180,42155.04,INACTIVE,CURRENT,2020-12-10,B17,OK,Y
CA182,C1181,A2181,40264.79,ACTIVE,SAVINGS,2025-04-06,B1,OK,N
CA183,C1182,A2182,44700.54,ACTIVE,SAVINGS,2023-02-12,B7,OK,Y
CA184,C1183,A2183,45243.37,PENDING,CURRENT,2021-04-02,B18,OK,N
CA185,C1184,A2184,35875.58,INACTIVE,SAVINGS,2024-10-19,B8,OK,N
CA186,C1185,A2185,37265.34,ACTIVE,CURRENT,2021-07-25,B10,OK,N
CA187,C1186,A2186,9124.86,PENDING,CURRENT,2021-10-21,B13,OK,N
CA188,C1187,A2187,27412.2,INACTIVE,SAVINGS,2022-05-05,B12,OK,Y
CA189,C1188,A2188,35007.93,INACTIVE,CURRENT,2021-09-21,B13,OK,N
CA190,C1189,A2189,35361.18,PENDING,SAVINGS,2021-08-06,B5,OK,Y
CA191,C1190,A2190,37398.54,ACTIVE,LOAN,2024-12-24,B8,OK,N
CA192,C1191,A2191,7030.48,PENDING,SAVINGS,2025-04-18,B12,OK,Y
CA193,C1192,A2192,29153.68,PENDING,LOAN,2024-10-24,B13,OK,Y
CA194,C1193,A2193,36244.77,ACTIVE,CURRENT,2024-12-21,B11,OK,N
CA195,C1194,A2194,25704.8,PENDING,LOAN,2024-10-03,B2,OK,Y
CA196,C1195,A2195,41355.53,INACTIVE,SAVINGS,2020-07-22,B5,OK,N
CA197,C1196,A2196,5474.27,ACTIVE,CURRENT,2020-04-16,B20,OK,N
CA198,C1197,A2197,24970.37,ACTIVE,SAVINGS,2024-02-20,B2,OK,N
CA199,C1198,A2198,14041.61,INACTIVE,LOAN,2021-04-08,B11,OK,N
CA200,C1199,A2199,24614.88,ACTIVE,LOAN,2023-07-13,B5,OK,Y
CA201,C1200,A2200,,PENDING,SAVINGS,2023-09-03,B8,,Y
CA202,C1201,A2201,46161.3,ACTIVE,SAVINGS,2021-01-26,B12,OK,N
CA203,C1202,A2202,39170.16,PENDING,SAVINGS,2025-04-09,B7,OK,Y
CA204,C1203,A2203,18674.91,ACTIVE,SAVINGS,2020-02-22,B14,OK,N
CA205,C1204,A2204,43303.15,PENDING,LOAN,2022-03-01,B5,OK,N
CA206,C1205,A2205,33096.11,ACTIVE,SAVINGS,2022-07-15,B10,OK,N
CA207,C1206,A2206,40522.79,PENDING,SAVINGS,2021-02-28,B11,OK,N
CA208,C1207,A2207,34397.56,INACTIVE,CURRENT,2021-09-16,B3,OK,N
CA209,C1208,A2208,2831.97,PENDING,SAVINGS,2021-10-30,B6,OK,Y
CA210,C1209,A2209,15915.82,ACTIVE,LOAN,2025-03-05,B6,OK,Y
CA211,C1210,A2210,36284.32,PENDING,CURRENT,2022-04-06,B3,OK,Y
CA212,C1211,A2211,44333.41,PENDING,LOAN,2023-05-21,B20,OK,Y
CA213,C1212,A2212,37162.52,PENDING,CURRENT,2025-04-13,B12,OK,N
CA214,C1213,A2213,35874.28,INACTIVE,CURRENT,2020-03-12,B13,OK,Y
CA215,C1214,A2214,30874.61,INACTIVE,CURRENT,2021-12-02,B20,OK,Y
CA216,C1215,A2215,17211.99,INACTIVE,SAVINGS,2020-08-11,B1,OK,N
CA217,C1216,A2216,6018.99,PENDING,CURRENT,2023-05-19,B7,OK,Y
CA218,C1217,A2217,49402.87,PENDING,SAVINGS,2024-03-18,B18,OK,N
CA219,C1218,A2218,20702.9,INACTIVE,CURRENT,2023-07-18,B20,OK,Y
CA220,C1219,A2219,8352.07,ACTIVE,SAVINGS,2022-10-08,B14,OK,Y
CA221,C1220,A2220,8650.45,PENDING,LOAN,2020-03-23,B3,OK,N
CA222,C1221,A2221,28453.18,INACTIVE,SAVINGS,2022-12-16,B2,OK,N
CA223,C1222,A2222,49121.25,ACTIVE,CURRENT,2021-01-06,B13,OK,Y
CA224,C1223,A2223,35258.4,PENDING,CURRENT,2023-02-08,B19,OK,Y
CA225,C1224,A2224,28153.49,ACTIVE,LOAN,2021-06-30,B14,OK,Y
CA226,C1225,A2225,16388.91,ACTIVE,LOAN,2020-07-27,B7,,N
CA227,C1226,A2226,27269.04,PENDING,SAVINGS,2024-04-03,B11,OK,N
CA228,C1227,A2227,41641.68,ACTIVE,LOAN,2022-03-30,B14,OK,N
CA229,C1228,A2228,49290.93,INACTIVE,LOAN,2021-08-10,B5,OK,Y
CA230,C1229,A2229,41962.47,ACTIVE,LOAN,2020-05-27,B3,OK,N
CA231,C1230,A2230,44348.1,ACTIVE,CURRENT,2023-06-05,B17,OK,Y
CA232,C1231,A2231,783.25,INACTIVE,LOAN,2021-05-12,B16,OK,N
CA233,C1232,A2232,43452.55,INACTIVE,CURRENT,2024-05-25,B18,OK,Y
CA234,C1233,A2233,35370.51,PENDING,LOAN,2020-05-06,B18,OK,Y
CA235,C1234,A2234,33171.37,PENDING,LOAN,2024-04-23,B4,OK,Y
CA236,C1235,A2235,47714.31,ACTIVE,LOAN,2021-08-17,B14,OK,Y
CA237,C1236,A2236,4205.06,ACTIVE,LOAN,2020-10-25,B15,OK,Y
CA238,C1237,A2237,9276.23,ACTIVE,SAVINGS,2025-05-24,B6,OK,Y
CA239,C1238,A2238,18155.85,PENDING,SAVINGS,2021-04-22,B2,OK,Y
CA240,C1239,A2239,8316.73,ACTIVE,SAVINGS,2024-07-13,B14,OK,Y
CA241,C1240,A2240,,ACTIVE,LOAN,2021-12-10,B2,OK,Y
CA242,C1241,A2241,49688.07,INACTIVE,CURRENT,2021-09-16,B2,OK,Y
CA243,C1242,A2242,40235.23,ACTIVE,SAVINGS,2022-12-01,B2,OK,Y
CA244,C1243,A2243,24923.5,ACTIVE,LOAN,2020-08-21,B1,OK,Y
CA245,C1244,A2244,31999.76,INACTIVE,SAVINGS,2020-04-02,B1,OK,Y
CA246,C1245,A2245,29841.84,ACTIVE,LOAN,2021-05-30,B10,OK,Y
CA247,C1246,A2246,37855.56,ACTIVE,SAVINGS,2023-01-05,B11,OK,N
CA248,C1247,A2247,7590.2,PENDING,CURRENT,2020-07-06,B18,OK,N
CA249,C1248,A2248,26850.38,ACTIVE,CURRENT,2020-07-20,B4,OK,Y
CA250,C1249,A2249,34657.6,ACTIVE,LOAN,2020-03-19,B5,OK,Y
CA251,C1250,A2250,20781.91,INACTIVE,LOAN,2022-12-24,B18,,Y
CA252,C1251,A2251,14208.36,ACTIVE,LOAN,2020-05-25,B20,OK,N
CA253,C1252,A2252,25630.26,INACTIVE,CURRENT,2023-06-11,B9,OK,N
CA254,C1253,A2253,47168.85,ACTIVE,SAVINGS,2022-01-20,B4,OK,Y
CA255,C1254,A2254,33961.55,PENDING,LOAN,2020-11-07,B17,OK,Y
CA256,C1255,A2255,22684.78,PENDING,SAVINGS,2023-05-24,B1,OK,N
CA257,C1256,A2256,18914.86,PENDING,CURRENT,2025-05-27,B20,OK,N
CA258,C1257,A2257,841.0,ACTIVE,SAVINGS,2020-06-22,B5,OK,Y
CA259,C1258,A2258,34978.54,ACTIVE,SAVINGS,2020-06-21,B9,OK,Y
CA260,C1259,A2259,9591.3,PENDING,SAVINGS,2024-12-07,B10,OK,Y
CA261,C1260,A2260,16863.48,PENDING,SAVINGS,2025-02-23,B4,OK,N
CA262,C1261,A2261,23893.06,ACTIVE,SAVINGS,2024-06-26,B15,OK,Y
CA263,C1262,A2262,27485.19,PENDING,LOAN,2022-08-30,B19,OK,Y
CA264,C1263,A2263,36309.85,ACTIVE,CURRENT,2024-10-25,B10,OK,Y
CA265,C1264,A2264,31739.85,INACTIVE,LOAN,2024-03-02,B6,OK,N
CA266,C1265,A2265,28476.93,PENDING,CURRENT,2023-11-22,B5,OK,N
CA267,C1266,A2266,22109.56,ACTIVE,LOAN,2023-06-30,B1,OK,N
CA268,C1267,A2267,14883.9,INACTIVE,LOAN,2022-05-06,B14,OK,N
CA269,C1268,A2268,8637.27,PENDING,LOAN,2024-10-18,B13,OK,Y
CA270,C1269,A2269,9569.7,PENDING,CURRENT,2023-10-04,B17,OK,N
CA271,C1270,A2270,11715.81,PENDING,CURRENT,2024-03-30,B3,OK,N
CA272,C1271,A2271,5181.23,INACTIVE,SAVINGS,2025-03-01,B7,OK,N
CA273,C1272,A2272,27809.35,INACTIVE,CURRENT,2025-03-16,B3,OK,Y
CA274,C1273,A2273,19758.46,PENDING,CURRENT,2022-07-10,B10,OK,N
CA275,C1274,A2274,43052.34,PENDING,CURRENT,2021-05-04,B12,OK,N
CA276,C1275,A2275,49881.33,INACTIVE,LOAN,2020-02-11,B9,,Y
CA277,C1276,A2276,37720.07,PENDING,CURRENT,2025-02-06,B10,OK,Y
CA278,C1277,A2277,1935.4,PENDING,CURRENT,2022-04-11,B6,OK,Y
CA279,C1278,A2278,16733.69,INACTIVE,SAVINGS,2021-10-13,B10,OK,Y
CA280,C1279,A2279,25660.57,INACTIVE,CURRENT,2023-10-07,B17,OK,N
CA281,C1280,A2280,,INACTIVE,CURRENT,2022-09-10,B7,OK,N
CA282,C1281,A2281,41224.86,INACTIVE,CURRENT,2023-01-12,B11,OK,N
CA283,C1282,A2282,1380.85,INACTIVE,LOAN,2022-07-16,B15,OK,Y
CA284,C1283,A2283,12930.05,ACTIVE,SAVINGS,2023-10-29,B15,OK,Y
CA285,C1284,A2284,3554.49,ACTIVE,SAVINGS,2024-01-23,B18,OK,Y
CA286,C1285,A2285,299.28,ACTIVE,LOAN,2022-07-27,B16,OK,N
CA287,C1286,A2286,17696.88,ACTIVE,SAVINGS,2025-05-04,B6,OK,Y
CA288,C1287,A2287,41046.65,ACTIVE,LOAN,2020-06-10,B7,OK,Y
CA289,C1288,A2288,11916.61,INACTIVE,CURRENT,2021-05-04,B19,OK,Y
CA290,C1289,A2289,20327.89,PENDING,LOAN,2022-10-14,B7,OK,N
CA291,C1290,A2290,12906.76,PENDING,LOAN,2024-09-15,B10,OK,Y
CA292,C1291,A2291,46166.46,INACTIVE,SAVINGS,2022-05-29,B9,OK,N
CA293,C1292,A2292,4736.59,INACTIVE,CURRENT,2024-12-11,B6,OK,N
CA294,C1293,A2293,3995.27,ACTIVE,SAVINGS,2021-04-24,B2,OK,Y
CA295,C1294,A2294,13726.55,INACTIVE,LOAN,2025-02-03,B7,OK,Y
CA296,C1295,A2295,24001.24,PENDING,LOAN,2020-08-05,B8,OK,Y
CA297,C1296,A2296,25699.89,PENDING,CURRENT,2020-01-25,B3,OK,N
CA298,C1297,A2297,1885.27,INACTIVE,SAVINGS,2024-11-08,B14,OK,N
CA299,C1298,A2298,19688.81,INACTIVE,CURRENT,2022-02-04,B11,OK,N
CA300,C1299,A2299,38203.76,PENDING,CURRENT,2022-11-15,B5,OK,Y
CA301,C1300,A2300,48559.95,ACTIVE,CURRENT,2020-10-05,B3,,Y
CA302,C1301,A2301,35230.46,INACTIVE,CURRENT,2023-11-24,B19,OK,N
CA303,C1302,A2302,25244.2,INACTIVE,SAVINGS,2021-10-21,B6,OK,Y
CA304,C1303,A2303,29421.25,INACTIVE,CURRENT,2022-07-30,B20,OK,Y
CA305,C1304,A2304,27051.43,ACTIVE,SAVINGS,2024-02-28,B11,OK,Y
CA306,C1305,A2305,12218.15,INACTIVE,LOAN,2020-01-07,B16,OK,N
CA307,C1306,A2306,6816.43,PENDING,LOAN,2021-03-16,B11,OK,N
CA308,C1307,A2307,47313.25,PENDING,SAVINGS,2020-02-23,B17,OK,Y
CA309,C1308,A2308,12034.15,PENDING,LOAN,2021-01-14,B17,OK,Y
CA310,C1309,A2309,41065.73,PENDING,SAVINGS,2023-08-22,B8,OK,Y
CA311,C1310,A2310,48697.31,INACTIVE,CURRENT,2024-10-09,B11,OK,Y
