branch_id,customer_id,account_id,amount,status,type,date,branch,remarks,flag
BR84,C1083,A2083,20106.04,ACTIVE,LOAN,2023-01-28,B16,OK,Y
BR85,C1084,A2084,42673.32,INACTIVE,LOAN,2024-12-16,B14,OK,N
BR86,C1085,A2085,17639.33,ACTIVE,SAVINGS,2022-01-17,B3,OK,Y
BR87,C1086,A2086,1851.46,INACTIVE,LOAN,2024-10-20,B6,OK,Y
BR88,C1087,A2087,10120.3,PENDING,CURRENT,2025-02-21,B13,OK,N
BR89,C1088,A2088,33555.44,INACTIVE,SAVINGS,2023-04-15,B13,OK,N
BR90,C1089,A2089,7284.8,PENDING,LOAN,2020-09-04,B8,OK,N
BR91,C1090,A2090,31662.52,PENDING,CURRENT,2021-12-14,B8,OK,Y
BR92,C1091,A2091,8942.09,INACTIVE,CURRENT,2021-04-27,B8,OK,N
BR93,C1092,A2092,7774.62,ACTIVE,CURRENT,2020-10-26,B19,OK,N
BR94,C1093,A2093,30119.39,INACTIVE,SAVINGS,2020-04-17,B9,OK,N
BR95,C1094,A2094,14730.31,ACTIVE,SAVINGS,2024-02-13,B19,OK,N
BR96,C1095,A2095,33433.05,ACTIVE,SAVINGS,2023-07-18,B10,OK,N
BR97,C1096,A2096,13787.65,INACTIVE,CURRENT,2021-11-18,B14,OK,N
BR98,C1097,A2097,348.49,PENDING,LOAN,2021-09-06,B2,OK,N
BR99,C1098,A2098,32078.6,ACTIVE,LOAN,2021-08-24,B4,OK,N
BR100,C1099,A2099,24177.65,INACTIVE,SAVINGS,2022-09-30,B4,OK,Y
BR101,C1100,A2100,28662.62,INACTIVE,CURRENT,2025-04-24,B8,,N
BR102,C1101,A2101,37487.4,INACTIVE,SAVINGS,2021-08-20,B15,OK,Y
BR103,C1102,A2102,32070.68,PENDING,LOAN,2022-06-27,B6,OK,N
BR104,C1103,A2103,15024.96,PENDING,LOAN,2021-07-05,B7,OK,Y
BR105,C1104,A2104,34153.64,ACTIVE,CURRENT,2025-06-21,B1,OK,N
BR106,C1105,A2105,28877.51,PENDING,CURRENT,2021-09-18,B8,OK,N
BR107,C1106,A2106,7370.8,ACTIVE,LOAN,2022-04-29,B15,OK,N
BR108,C1107,A2107,6349.02,INACTIVE,CURRENT,2024-10-27,B9,OK,N
BR109,C1108,A2108,30099.39,PENDING,CURRENT,2025-05-09,B14,OK,N
BR110,C1109,A2109,7129.6,INACTIVE,SAVINGS,2022-10-26,B20,OK,N
BR111,C1110,A2110,5571.3,ACTIVE,CURRENT,2024-12-22,B1,OK,Y
BR112,C1111,A2111,45448.5,INACTIVE,LOAN,2024-01-31,B20,OK,Y
BR113,C1112,A2112,17107.93,INACTIVE,LOAN,2022-09-18,B6,OK,Y
BR114,C1113,A2113,34851.9,ACTIVE,LOAN,2023-08-13,B16,OK,Y
BR115,C1114,A2114,3428.42,PENDING,CURRENT,2024-02-06,B16,OK,N
BR116,C1115,A2115,27449.22,INACTIVE,CURRENT,2021-01-08,B7,OK,N
BR117,C1116,A2116,24796.58,PENDING,CURRENT,2024-11-17,B11,OK,Y
BR118,C1117,A2117,16115.73,INACTIVE,SAVINGS,2023-12-22,B12,OK,N
BR119,C1118,A2118,34679.49,ACTIVE,CURRENT,2022-11-28,B7,OK,N
BR120,C1119,A2119,6744.44,PENDING,CURRENT,2021-10-13,B17,OK,Y
BR121,C1120,A2120,,PENDING,SAVINGS,2021-03-05,B12,OK,N
BR122,C1121,A2121,36144.04,ACTIVE,LOAN,2020-04-07,B20,OK,Y
BR123,C1122,A2122,33362.76,INACTIVE,SAVINGS,2021-05-28,B17,OK,N
BR124,C1123,A2123,26132.6,PENDING,LOAN,2025-05-30,B6,OK,N
BR125,C1124,A2124,32772.99,PENDING,SAVINGS,2024-05-23,B4,OK,N
BR126,C1125,A2125,6351.86,ACTIVE,SAVINGS,2024-03-08,B15,,Y
BR127,C1126,A2126,10789.84,ACTIVE,SAVINGS,2021-01-09,B10,OK,N
BR128,C1127,A2127,41228.88,PENDING,LOAN,2022-06-20,B15,OK,N
BR129,C1128,A2128,31103.98,PENDING,CURRENT,2021-08-19,B11,OK,Y
BR130,C1129,A2129,31476.16,INACTIVE,SAVINGS,2022-07-07,B12,OK,Y
BR131,C1130,A2130,32583.93,INACTIVE,CURRENT,2022-11-26,B13,OK,N
BR132,C1131,A2131,24542.15,ACTIVE,CURRENT,2021-03-12,B9,OK,N
BR133,C1132,A2132,44318.83,ACTIVE,SAVINGS,2021-04-21,B19,OK,Y
BR134,C1133,A2133,24337.83,ACTIVE,CURRENT,2024-01-23,B18,OK,Y
BR135,C1134,A2134,30201.11,PENDING,LOAN,2020-12-19,B10,OK,N
BR136,C1135,A2135,1222.92,INACTIVE,CURRENT,2024-03-19,B15,OK,N
BR137,C1136,A2136,34439.22,PENDING,CURRENT,2021-08-09,B20,OK,N
BR138,C1137,A2137,34143.67,ACTIVE,LOAN,2024-08-19,B17,OK,Y
BR139,C1138,A2138,24136.58,INACTIVE,LOAN,2022-10-09,B17,OK,Y
BR140,C1139,A2139,17856.71,PENDING,CURRENT,2024-04-17,B17,OK,Y
BR141,C1140,A2140,3169.06,INACTIVE,SAVINGS,2025-02-12,B20,OK,Y
BR142,C1141,A2141,6723.05,ACTIVE,LOAN,2020-12-21,B9,OK,Y
BR143,C1142,A2142,6676.41,PENDING,SAVINGS,2023-01-28,B18,OK,Y
BR144,C1143,A2143,8478.2,ACTIVE,LOAN,2023-02-19,B8,OK,N
BR145,C1144,A2144,18873.87,ACTIVE,CURRENT,2021-05-02,B14,OK,N
BR146,C1145,A2145,36317.42,PENDING,SAVINGS,2022-09-21,B10,OK,Y
BR147,C1146,A2146,4929.78,INACTIVE,LOAN,2024-06-14,B19,OK,Y
BR148,C1147,A2147,38494.98,ACTIVE,CURRENT,2021-10-04,B12,OK,Y
BR149,C1148,A2148,38169.53,ACTIVE,SAVINGS,2025-01-17,B3,OK,N
BR150,C1149,A2149,1361.89,ACTIVE,CURRENT,2020-05-21,B18,OK,N
BR151,C1150,A2150,49661.98,INACTIVE,SAVINGS,2024-11-26,B6,,N
BR152,C1151,A2151,35785.54,INACTIVE,SAVINGS,2021-01-16,B13,OK,N
BR153,C1152,A2152,10178.73,ACTIVE,CURRENT,2023-08-13,B18,OK,Y
BR154,C1153,A2153,34011.36,PENDING,SAVINGS,2023-02-06,B10,OK,Y
BR155,C1154,A2154,29585.79,PENDING,LOAN,2024-10-25,B17,OK,N
BR156,C1155,A2155,44476.87,PENDING,CURRENT,2024-04-24,B2,OK,N
BR157,C1156,A2156,19904.29,PENDING,CURRENT,2020-11-11,B18,OK,Y
BR158,C1157,A2157,43800.57,INACTIVE,CURRENT,2023-09-10,B2,OK,N
BR159,C1158,A2158,36307.74,PENDING,LOAN,2022-04-07,B17,OK,Y
BR160,C1159,A2159,25420.13,INACTIVE,LOAN,2024-03-07,B4,OK,Y
BR161,C1160,A2160,,PENDING,SAVINGS,2020-10-22,B1,OK,Y
BR162,C1161,A2161,161.77,PENDING,CURRENT,2021-07-23,B1,OK,Y
BR163,C1162,A2162,33866.86,PENDING,LOAN,2022-02-11,B6,OK,N
BR164,C1163,A2163,34268.04,INACTIVE,CURRENT,2020-12-19,B10,OK,N
BR165,C1164,A2164,34717.9,ACTIVE,LOAN,2022-10-16,B12,OK,Y
BR166,C1165,A2165,12851.13,PENDING,SAVINGS,2021-12-02,B7,OK,N
BR167,C1166,A2166,49432.6,INACTIVE,CURRENT,2024-04-10,B16,OK,Y
BR168,C1167,A2167,10520.71,ACTIVE,CURRENT,2024-09-18,B16,OK,Y
BR169,C1168,A2168,39622.92,PENDING,LOAN,2022-06-14,B9,OK,Y
BR170,C1169,A2169,27674.36,ACTIVE,CURRENT,2023-03-24,B10,OK,Y
BR171,C1170,A2170,35363.87,INACTIVE,SAVINGS,2021-01-24,B2,OK,Y
BR172,C1171,A2171,32224.87,ACTIVE,CURRENT,2022-04-12,B8,OK,Y
BR173,C1172,A2172,36.26,INACTIVE,LOAN,2023-03-15,B2,OK,N
BR174,C1173,A2173,25232.56,PENDING,LOAN,2024-11-09,B5,OK,Y
BR175,C1174,A2174,11309.38,PENDING,LOAN,2020-06-28,B6,OK,N
BR176,C1175,A2175,21902.94,PENDING,CURRENT,2024-11-14,B1,,N
BR177,C1176,A2176,3037.2,INACTIVE,LOAN,2024-01-25,B19,OK,N
BR178,C1177,A2177,47522.81,PENDING,SAVINGS,2022-03-06,B6,OK,N
BR179,C1178,A2178,16214.49,ACTIVE,LOAN,2024-01-10,B16,OK,N
BR180,C1179,A2179,36967.19,INACTIVE,CURRENT,2024-02-11,B6,OK,N
BR181,C1180,A2180,40132.73,INACTIVE,CURRENT,2023-06-21,B5,OK,N
BR182,C1181,A2181,3664.69,ACTIVE,SAVINGS,2020-08-11,B17,OK,Y
BR183,C1182,A2182,13471.33,INACTIVE,SAVINGS,2024-08-16,B1,OK,Y
BR184,C1183,A2183,19825.82,INACTIVE,SAVINGS,2022-07-09,B5,OK,N
BR185,C1184,A2184,26897.99,ACTIVE,LOAN,2020-11-19,B6,OK,Y
BR186,C1185,A2185,46982.37,PENDING,SAVINGS,2023-11-30,B4,OK,Y
BR187,C1186,A2186,44737.12,PENDING,SAVINGS,2024-04-20,B16,OK,Y
BR188,C1187,A2187,35910.66,INACTIVE,LOAN,2020-10-15,B1,OK,Y
BR189,C1188,A2188,16400.83,PENDING,SAVINGS,2023-05-15,B6,OK,N
BR190,C1189,A2189,33135.47,ACTIVE,CURRENT,2024-05-04,B6,OK,N
BR191,C1190,A2190,49638.15,INACTIVE,SAVINGS,2022-11-03,B4,OK,Y
BR192,C1191,A2191,48783.29,ACTIVE,CURRENT,2025-01-25,B2,OK,Y
BR193,C1192,A2192,41084.23,PENDING,CURRENT,2024-08-12,B11,OK,N
BR194,C1193,A2193,17025.89,INACTIVE,SAVINGS,2021-08-18,B20,OK,N
BR195,C1194,A2194,19822.97,ACTIVE,LOAN,2021-12-09,B3,OK,N
BR196,C1195,A2195,43390.46,ACTIVE,CURRENT,2023-09-06,B10,OK,Y
BR197,C1196,A2196,27458.04,INACTIVE,LOAN,2022-12-10,B9,OK,Y
BR198,C1197,A2197,23240.62,ACTIVE,LOAN,2024-08-05,B15,OK,Y
BR199,C1198,A2198,21361.82,INACTIVE,LOAN,2021-07-28,B2,OK,Y
BR200,C1199,A2199,10600.99,INACTIVE,SAVINGS,2025-02-19,B15,OK,N
BR201,C1200,A2200,,INACTIVE,CURRENT,2021-08-21,B17,,Y
BR202,C1201,A2201,13390.33,INACTIVE,SAVINGS,2023-09-09,B3,OK,Y
BR203,C1202,A2202,32696.82,PENDING,CURRENT,2023-04-10,B20,OK,Y
BR204,C1203,A2203,15142.4,INACTIVE,LOAN,2025-02-03,B11,OK,Y
BR205,C1204,A2204,4555.62,PENDING,SAVINGS,2020-11-08,B12,OK,Y
BR206,C1205,A2205,5055.48,PENDING,LOAN,2023-06-13,B20,OK,N
BR207,C1206,A2206,47783.16,PENDING,LOAN,2025-04-22,B19,OK,Y
BR208,C1207,A2207,47313.54,ACTIVE,CURRENT,2024-11-05,B5,OK,Y
BR209,C1208,A2208,6275.71,ACTIVE,SAVINGS,2020-10-13,B7,OK,N
BR210,C1209,A2209,12983.8,INACTIVE,LOAN,2024-08-21,B17,OK,Y
BR211,C1210,A2210,17190.88,PENDING,SAVINGS,2021-02-25,B7,OK,N
BR212,C1211,A2211,26135.26,ACTIVE,LOAN,2022-09-03,B4,OK,Y
BR213,C1212,A2212,35115.43,PENDING,CURRENT,2024-05-27,B10,OK,N
BR214,C1213,A2213,32946.48,ACTIVE,SAVINGS,2021-04-24,B10,OK,Y
BR215,C1214,A2214,43560.68,PENDING,LOAN,2025-02-17,B11,OK,Y
BR216,C1215,A2215,46432.13,ACTIVE,SAVINGS,2023-10-02,B6,OK,N
BR217,C1216,A2216,7153.1,INACTIVE,SAVINGS,2021-12-17,B4,OK,Y
BR218,C1217,A2217,31839.87,ACTIVE,LOAN,2023-05-25,B5,OK,N
BR219,C1218,A2218,38257.31,INACTIVE,SAVINGS,2024-12-31,B11,OK,N
BR220,C1219,A2219,47028.66,PENDING,CURRENT,2020-06-24,B2,OK,N
BR221,C1220,A2220,43692.21,PENDING,CURRENT,2021-07-02,B9,OK,Y
BR222,C1221,A2221,7602.91,ACTIVE,SAVINGS,2022-06-19,B14,OK,Y
BR223,C1222,A2222,12498.35,INACTIVE,LOAN,2022-02-07,B8,OK,Y
BR224,C1223,A2223,12423.0,PENDING,CURRENT,2022-05-01,B11,OK,Y
BR225,C1224,A2224,5133.22,ACTIVE,CURRENT,2022-03-07,B4,OK,N
BR226,C1225,A2225,9783.03,ACTIVE,LOAN,2024-07-08,B16,,Y
BR227,C1226,A2226,35862.68,PENDING,LOAN,2024-06-15,B2,OK,Y
BR228,C1227,A2227,43063.93,PENDING,LOAN,2023-01-05,B12,OK,N
BR229,C1228,A2228,4712.83,INACTIVE,LOAN,2021-12-04,B1,OK,N
BR230,C1229,A2229,1118.09,ACTIVE,SAVINGS,2023-03-02,B18,OK,Y
BR231,C1230,A2230,41349.04,PENDING,LOAN,2021-07-01,B8,OK,Y
BR232,C1231,A2231,36753.2,PENDING,SAVINGS,2022-05-12,B18,OK,Y
BR233,C1232,A2232,25519.37,PENDING,CURRENT,2023-05-10,B18,OK,Y
BR234,C1233,A2233,1023.31,INACTIVE,LOAN,2022-03-16,B4,OK,Y
BR235,C1234,A2234,34148.33,PENDING,LOAN,2023-05-04,B17,OK,N
BR236,C1235,A2235,18443.33,ACTIVE,SAVINGS,2022-01-21,B15,OK,Y
BR237,C1236,A2236,38141.75,PENDING,CURRENT,2023-04-06,B16,OK,N
BR238,C1237,A2237,4844.52,ACTIVE,LOAN,2025-01-06,B7,OK,Y
BR239,C1238,A2238,15296.4,INACTIVE,SAVINGS,2020-01-13,B18,OK,N
BR240,C1239,A2239,40792.74,ACTIVE,SAVINGS,2022-02-15,B18,OK,N
BR241,C1240,A2240,,PENDING,LOAN,2021-08-23,B8,OK,N
BR242,C1241,A2241,8527.55,INACTIVE,LOAN,2023-08-17,B19,OK,Y
BR243,C1242,A2242,41619.34,INACTIVE,SAVINGS,2024-10-01,B16,OK,N
BR244,C1243,A2243,5688.36,INACTIVE,SAVINGS,2024-05-18,B8,OK,Y
BR245,C1244,A2244,44960.93,ACTIVE,CURRENT,2024-02-13,B13,OK,N
BR246,C1245,A2245,29959.7,ACTIVE,SAVINGS,2020-09-19,B18,OK,N
BR247,C1246,A2246,696.85,ACTIVE,LOAN,2020-04-18,B4,OK,Y
BR248,C1247,A2247,1635.26,INACTIVE,CURRENT,2024-01-26,B17,OK,N
BR249,C1248,A2248,48565.11,ACTIVE,SAVINGS,2025-04-16,B19,OK,N
BR250,C1249,A2249,17063.1,INACTIVE,LOAN,2023-12-23,B12,OK,Y
BR251,C1250,A2250,26197.89,ACTIVE,CURRENT,2022-05-08,B1,,Y
BR252,C1251,A2251,46966.72,ACTIVE,LOAN,2023-02-18,B15,OK,N
BR253,C1252,A2252,5821.43,ACTIVE,LOAN,2020-05-21,B9,OK,Y
BR254,C1253,A2253,33413.96,PENDING,SAVINGS,2020-04-07,B5,OK,Y
BR255,C1254,A2254,41974.89,ACTIVE,LOAN,2021-01-28,B10,OK,Y
BR256,C1255,A2255,14345.94,PENDING,LOAN,2022-05-29,B20,OK,N
BR257,C1256,A2256,41766.74,INACTIVE,CURRENT,2020-01-06,B12,OK,N
BR258,C1257,A2257,5920.04,ACTIVE,LOAN,2021-05-22,B6,OK,Y
BR259,C1258,A2258,42136.88,INACTIVE,LOAN,2024-02-13,B5,OK,N
BR260,C1259,A2259,7370.34,INACTIVE,LOAN,2025-03-05,B12,OK,N
BR261,C1260,A2260,49460.07,PENDING,SAVINGS,2023-07-18,B9,OK,Y
BR262,C1261,A2261,15672.88,ACTIVE,LOAN,2023-06-13,B15,OK,N
BR263,C1262,A2262,36347.34,INACTIVE,LOAN,2023-07-29,B11,OK,Y
BR264,C1263,A2263,54.29,PENDING,LOAN,2022-11-13,B14,OK,Y
BR265,C1264,A2264,32400.2,ACTIVE,SAVINGS,2020-04-26,B4,OK,Y
BR266,C1265,A2265,5447.07,ACTIVE,LOAN,2022-04-26,B20,OK,N
BR267,C1266,A2266,2649.86,PENDING,CURRENT,2020-04-28,B6,OK,N
BR268,C1267,A2267,40625.9,PENDING,LOAN,2020-11-19,B19,OK,N
BR269,C1268,A2268,37939.88,ACTIVE,LOAN,2023-10-28,B2,OK,Y
BR270,C1269,A2269,33114.52,INACTIVE,LOAN,2021-08-18,B16,OK,N
BR271,C1270,A2270,22577.91,ACTIVE,LOAN,2023-06-24,B20,OK,Y
BR272,C1271,A2271,10343.63,INACTIVE,CURRENT,2025-02-11,B19,OK,Y
BR273,C1272,A2272,25738.16,ACTIVE,CURRENT,2021-09-07,B5,OK,Y
BR274,C1273,A2273,757.91,PENDING,CURRENT,2022-06-11,B12,OK,N
BR275,C1274,A2274,19253.96,ACTIVE,LOAN,2022-03-04,B7,OK,N
BR276,C1275,A2275,2894.28,INACTIVE,CURRENT,2021-06-14,B2,,Y
BR277,C1276,A2276,18962.21,ACTIVE,LOAN,2023-12-21,B8,OK,N
BR278,C1277,A2277,41761.34,PENDING,LOAN,2025-06-13,B11,OK,Y
BR279,C1278,A2278,44150.83,ACTIVE,CURRENT,2020-09-02,B5,OK,Y
BR280,C1279,A2279,43814.97,PENDING,LOAN,2021-07-26,B10,OK,Y
BR281,C1280,A2280,,PENDING,SAVINGS,2023-06-29,B20,OK,Y
BR282,C1281,A2281,34259.2,INACTIVE,LOAN,2020-08-12,B12,OK,N
BR283,C1282,A2282,25408.62,ACTIVE,SAVINGS,2023-10-22,B4,OK,N
BR284,C1283,A2283,30632.28,INACTIVE,SAVINGS,2022-11-25,B1,OK,Y
BR285,C1284,A2284,5412.77,PENDING,SAVINGS,2020-12-21,B16,OK,N
BR286,C1285,A2285,13211.05,PENDING,CURRENT,2023-05-10,B10,OK,N
BR287,C1286,A2286,47488.2,PENDING,CURRENT,2024-12-11,B1,OK,N
BR288,C1287,A2287,18240.95,INACTIVE,SAVINGS,2024-06-28,B17,OK,N
BR289,C1288,A2288,17521.7,PENDING,LOAN,2020-02-05,B3,OK,N
BR290,C1289,A2289,18143.56,INACTIVE,CURRENT,2021-04-19,B11,OK,Y
BR291,C1290,A2290,37010.79,PENDING,CURRENT,2020-11-20,B4,OK,Y
BR292,C1291,A2291,28238.12,PENDING,CURRENT,2020-12-27,B5,OK,Y
BR293,C1292,A2292,32832.99,ACTIVE,SAVINGS,2021-08-31,B3,OK,Y
BR294,C1293,A2293,28119.74,ACTIVE,SAVINGS,2023-06-14,B11,OK,N
BR295,C1294,A2294,31150.17,INACTIVE,LOAN,2024-05-24,B16,OK,N
BR296,C1295,A2295,18130.12,PENDING,CURRENT,2021-07-16,B17,OK,Y
BR297,C1296,A2296,16032.46,ACTIVE,SAVINGS,2021-09-02,B18,OK,Y
BR298,C1297,A2297,45195.95,INACTIVE,CURRENT,2021-02-06,B19,OK,N
BR299,C1298,A2298,10083.08,PENDING,LOAN,2023-12-10,B6,OK,Y
BR300,C1299,A2299,22756.1,ACTIVE,SAVINGS,2024-07-30,B19,OK,Y
BR301,C1300,A2300,41725.24,PENDING,CURRENT,2021-05-14,B7,,Y
BR302,C1301,A2301,9471.41,PENDING,LOAN,2024-04-08,B1,OK,N
BR303,C1302,A2302,4008.74,PENDING,LOAN,2023-12-20,B20,OK,N
BR304,C1303,A2303,26404.59,ACTIVE,LOAN,2025-05-29,B1,OK,Y
BR305,C1304,A2304,13965.63,PENDING,SAVINGS,2022-05-18,B7,OK,N
BR306,C1305,A2305,19575.51,PENDING,CURRENT,2023-11-16,B20,OK,Y
BR307,C1306,A2306,39881.15,INACTIVE,CURRENT,2020-12-26,B15,OK,N
BR308,C1307,A2307,34993.57,PENDING,SAVINGS,2025-04-21,B1,OK,N
BR309,C1308,A2308,46934.39,INACTIVE,SAVINGS,2022-06-12,B13,OK,N
BR310,C1309,A2309,4899.71,ACTIVE,CURRENT,2020-06-27,B1,OK,Y
BR311,C1310,A2310,28408.83,ACTIVE,SAVINGS,2023-12-07,B10,OK,N
BR312,C1311,A2311,5720.06,INACTIVE,SAVINGS,2021-01-23,B7,OK,N
