employee_id,customer_id,account_id,amount,status,type,date,branch,remarks,flag
EM88,C1087,A2087,14419.47,PENDING,CURRENT,2023-06-23,B18,OK,Y
EM89,C1088,A2088,7522.9,PENDING,LOAN,2022-06-20,B5,OK,N
EM90,C1089,A2089,26286.43,ACTIVE,SAVINGS,2020-10-10,B14,OK,N
EM91,C1090,A2090,2746.03,ACTIVE,SAVINGS,2022-03-15,B17,OK,Y
EM92,C1091,A2091,40060.71,PENDING,CURRENT,2023-04-08,B13,OK,Y
EM93,C1092,A2092,33932.27,INACTIVE,CURRENT,2024-01-08,B11,OK,Y
EM94,C1093,A2093,11020.64,PENDING,LOAN,2022-10-16,B11,OK,N
EM95,C1094,A2094,8212.31,PENDING,LOAN,2023-03-26,B1,OK,Y
EM96,C1095,A2095,9866.15,INACTIVE,LOAN,2020-01-20,B7,OK,Y
EM97,C1096,A2096,38907.86,PENDING,CURRENT,2024-09-19,B4,OK,N
EM98,C1097,A2097,4930.51,ACTIVE,LOAN,2021-10-14,B12,OK,N
EM99,C1098,A2098,15153.29,INACTIVE,LOAN,2024-05-05,B12,OK,Y
EM100,C1099,A2099,7715.08,ACTIVE,CURRENT,2021-11-30,B7,OK,Y
EM101,C1100,A2100,13625.35,ACTIVE,CURRENT,2020-09-17,B18,,N
EM102,C1101,A2101,42853.49,ACTIVE,CURRENT,2020-10-28,B19,OK,Y
EM103,C1102,A2102,8920.49,INACTIVE,SAVINGS,2024-08-28,B6,OK,N
EM104,C1103,A2103,44447.74,PENDING,LOAN,2024-04-06,B18,OK,N
EM105,C1104,A2104,24408.92,ACTIVE,SAVINGS,2022-05-31,B10,OK,N
EM106,C1105,A2105,41316.13,PENDING,CURRENT,2021-05-14,B3,OK,N
EM107,C1106,A2106,24945.55,ACTIVE,CURRENT,2021-07-02,B14,OK,Y
EM108,C1107,A2107,145.89,INACTIVE,CURRENT,2020-03-29,B2,OK,Y
EM109,C1108,A2108,13761.66,ACTIVE,LOAN,2024-02-26,B16,OK,N
EM110,C1109,A2109,13958.83,PENDING,LOAN,2020-10-26,B17,OK,N
EM111,C1110,A2110,3398.43,INACTIVE,SAVINGS,2022-06-26,B18,OK,N
EM112,C1111,A2111,20336.11,PENDING,CURRENT,2025-05-22,B15,OK,N
EM113,C1112,A2112,21111.67,ACTIVE,SAVINGS,2024-12-15,B13,OK,Y
EM114,C1113,A2113,1368.37,ACTIVE,LOAN,2024-08-31,B4,OK,Y
EM115,C1114,A2114,42019.75,PENDING,LOAN,2022-07-29,B7,OK,Y
EM116,C1115,A2115,13862.74,PENDING,LOAN,2023-02-25,B15,OK,Y
EM117,C1116,A2116,24034.4,PENDING,CURRENT,2023-01-11,B4,OK,N
EM118,C1117,A2117,36874.14,PENDING,LOAN,2022-11-19,B18,OK,N
EM119,C1118,A2118,20653.74,INACTIVE,LOAN,2022-12-17,B20,OK,Y
EM120,C1119,A2119,17472.55,INACTIVE,CURRENT,2022-11-01,B4,OK,N
EM121,C1120,A2120,,PENDING,LOAN,2021-08-09,B7,OK,N
EM122,C1121,A2121,34671.9,PENDING,CURRENT,2020-07-21,B14,OK,N
EM123,C1122,A2122,3416.8,INACTIVE,LOAN,2021-08-20,B14,OK,N
EM124,C1123,A2123,26444.9,PENDING,CURRENT,2022-03-04,B10,OK,Y
EM125,C1124,A2124,47838.18,PENDING,LOAN,2020-04-25,B18,OK,N
EM126,C1125,A2125,10724.2,INACTIVE,CURRENT,2021-02-15,B1,,N
EM127,C1126,A2126,40594.68,INACTIVE,CURRENT,2021-09-01,B11,OK,N
EM128,C1127,A2127,8524.29,INACTIVE,LOAN,2022-09-19,B6,OK,Y
EM129,C1128,A2128,21410.09,PENDING,LOAN,2024-12-07,B8,OK,N
EM130,C1129,A2129,47902.39,ACTIVE,CURRENT,2021-11-14,B19,OK,Y
EM131,C1130,A2130,17466.32,PENDING,SAVINGS,2023-10-09,B9,OK,N
EM132,C1131,A2131,32674.09,INACTIVE,SAVINGS,2021-11-20,B9,OK,N
EM133,C1132,A2132,6203.6,INACTIVE,LOAN,2025-06-03,B11,OK,N
EM134,C1133,A2133,12979.9,PENDING,SAVINGS,2022-05-28,B16,OK,Y
EM135,C1134,A2134,10601.01,PENDING,SAVINGS,2023-03-02,B13,OK,N
EM136,C1135,A2135,6637.95,PENDING,SAVINGS,2024-12-27,B5,OK,Y
EM137,C1136,A2136,1246.74,ACTIVE,LOAN,2022-07-20,B16,OK,Y
EM138,C1137,A2137,41404.34,PENDING,LOAN,2025-04-04,B15,OK,N
EM139,C1138,A2138,24996.2,PENDING,LOAN,2024-04-24,B4,OK,Y
EM140,C1139,A2139,12764.84,ACTIVE,CURRENT,2023-02-12,B8,OK,Y
EM141,C1140,A2140,41023.78,ACTIVE,SAVINGS,2022-02-14,B5,OK,Y
EM142,C1141,A2141,17907.96,INACTIVE,CURRENT,2020-07-02,B3,OK,N
EM143,C1142,A2142,41098.61,PENDING,LOAN,2024-11-29,B20,OK,N
EM144,C1143,A2143,26338.83,INACTIVE,SAVINGS,2022-11-21,B13,OK,Y
EM145,C1144,A2144,14281.3,INACTIVE,LOAN,2020-04-06,B6,OK,Y
EM146,C1145,A2145,31243.02,ACTIVE,CURRENT,2021-07-24,B13,OK,N
EM147,C1146,A2146,27932.05,INACTIVE,LOAN,2023-08-26,B19,OK,N
EM148,C1147,A2147,46595.16,INACTIVE,CURRENT,2020-08-26,B20,OK,N
EM149,C1148,A2148,17272.17,ACTIVE,SAVINGS,2020-10-01,B9,OK,Y
EM150,C1149,A2149,17471.41,ACTIVE,LOAN,2022-05-16,B19,OK,N
EM151,C1150,A2150,16806.26,INACTIVE,SAVINGS,2020-05-28,B7,,N
EM152,C1151,A2151,41431.73,INACTIVE,SAVINGS,2020-09-24,B18,OK,Y
EM153,C1152,A2152,46870.32,ACTIVE,CURRENT,2022-02-15,B13,OK,Y
EM154,C1153,A2153,6068.1,PENDING,SAVINGS,2022-02-27,B3,OK,N
EM155,C1154,A2154,9979.18,ACTIVE,SAVINGS,2024-01-17,B11,OK,N
EM156,C1155,A2155,15912.37,PENDING,LOAN,2020-12-30,B10,OK,N
EM157,C1156,A2156,1090.4,ACTIVE,LOAN,2024-05-08,B16,OK,N
EM158,C1157,A2157,23092.25,INACTIVE,SAVINGS,2020-07-23,B13,OK,N
EM159,C1158,A2158,6783.96,INACTIVE,SAVINGS,2025-04-05,B18,OK,N
EM160,C1159,A2159,28888.39,INACTIVE,LOAN,2025-03-09,B13,OK,N
EM161,C1160,A2160,,INACTIVE,LOAN,2020-01-11,B1,OK,Y
EM162,C1161,A2161,23791.49,INACTIVE,CURRENT,2021-11-10,B10,OK,Y
EM163,C1162,A2162,27242.52,INACTIVE,LOAN,2022-01-31,B20,OK,N
EM164,C1163,A2163,6938.48,PENDING,SAVINGS,2020-06-04,B2,OK,Y
EM165,C1164,A2164,21305.15,INACTIVE,CURRENT,2023-02-09,B13,OK,Y
EM166,C1165,A2165,34378.31,PENDING,SAVINGS,2022-04-03,B18,OK,Y
EM167,C1166,A2166,18651.2,INACTIVE,LOAN,2025-01-23,B1,OK,N
EM168,C1167,A2167,25273.43,PENDING,CURRENT,2020-07-29,B14,OK,N
EM169,C1168,A2168,27990.89,ACTIVE,SAVINGS,2020-09-20,B20,OK,Y
EM170,C1169,A2169,45314.38,INACTIVE,CURRENT,2023-05-08,B4,OK,N
EM171,C1170,A2170,2530.24,ACTIVE,CURRENT,2023-10-14,B1,OK,N
EM172,C1171,A2171,5496.5,PENDING,SAVINGS,2024-11-07,B7,OK,N
EM173,C1172,A2172,39142.39,ACTIVE,CURRENT,2024-11-08,B20,OK,Y
EM174,C1173,A2173,25725.09,PENDING,CURRENT,2020-05-20,B7,OK,N
EM175,C1174,A2174,12008.31,PENDING,CURRENT,2022-05-01,B6,OK,N
EM176,C1175,A2175,48788.69,ACTIVE,CURRENT,2024-04-22,B11,,N
EM177,C1176,A2176,4587.38,INACTIVE,LOAN,2023-04-06,B20,OK,Y
EM178,C1177,A2177,29958.01,INACTIVE,SAVINGS,2021-04-12,B13,OK,N
EM179,C1178,A2178,43667.67,ACTIVE,SAVINGS,2020-09-10,B3,OK,Y
EM180,C1179,A2179,27199.64,INACTIVE,CURRENT,2021-06-10,B16,OK,Y
EM181,C1180,A2180,43211.31,INACTIVE,LOAN,2024-03-05,B1,OK,N
EM182,C1181,A2181,46635.8,PENDING,LOAN,2022-08-12,B4,OK,Y
EM183,C1182,A2182,37902.06,INACTIVE,LOAN,2025-03-13,B20,OK,N
EM184,C1183,A2183,11581.25,ACTIVE,SAVINGS,2023-08-28,B10,OK,N
EM185,C1184,A2184,41253.5,PENDING,SAVINGS,2020-09-08,B6,OK,N
EM186,C1185,A2185,23484.85,INACTIVE,SAVINGS,2022-05-28,B4,OK,Y
EM187,C1186,A2186,39009.49,PENDING,CURRENT,2024-12-24,B11,OK,N
EM188,C1187,A2187,13094.81,PENDING,SAVINGS,2022-04-06,B12,OK,Y
EM189,C1188,A2188,36232.1,INACTIVE,SAVINGS,2023-11-15,B12,OK,Y
EM190,C1189,A2189,5277.59,ACTIVE,LOAN,2020-05-08,B9,OK,Y
EM191,C1190,A2190,3415.52,PENDING,CURRENT,2021-10-17,B5,OK,N
EM192,C1191,A2191,31591.8,INACTIVE,CURRENT,2022-01-12,B14,OK,N
EM193,C1192,A2192,36132.93,INACTIVE,SAVINGS,2022-07-11,B15,OK,Y
EM194,C1193,A2193,47740.59,PENDING,SAVINGS,2024-01-26,B13,OK,Y
EM195,C1194,A2194,45036.71,PENDING,SAVINGS,2024-05-29,B16,OK,Y
EM196,C1195,A2195,16603.6,PENDING,LOAN,2020-02-01,B8,OK,N
EM197,C1196,A2196,36962.56,INACTIVE,LOAN,2024-08-30,B20,OK,N
EM198,C1197,A2197,30796.03,ACTIVE,LOAN,2024-03-22,B7,OK,N
EM199,C1198,A2198,35352.01,INACTIVE,LOAN,2025-01-03,B2,OK,N
EM200,C1199,A2199,11770.64,ACTIVE,SAVINGS,2024-08-24,B16,OK,N
EM201,C1200,A2200,,PENDING,SAVINGS,2022-01-14,B4,,N
EM202,C1201,A2201,21401.64,ACTIVE,SAVINGS,2021-11-14,B8,OK,N
EM203,C1202,A2202,40847.8,ACTIVE,LOAN,2023-02-21,B20,OK,Y
EM204,C1203,A2203,34643.81,ACTIVE,LOAN,2024-10-29,B12,OK,N
EM205,C1204,A2204,43593.48,ACTIVE,LOAN,2024-06-06,B16,OK,Y
EM206,C1205,A2205,937.57,PENDING,CURRENT,2021-01-03,B12,OK,Y
EM207,C1206,A2206,15273.98,PENDING,CURRENT,2023-07-21,B14,OK,Y
EM208,C1207,A2207,25513.71,ACTIVE,SAVINGS,2023-01-03,B3,OK,N
EM209,C1208,A2208,25339.61,ACTIVE,SAVINGS,2022-02-04,B17,OK,Y
EM210,C1209,A2209,39764.68,PENDING,CURRENT,2021-01-05,B4,OK,Y
EM211,C1210,A2210,49514.98,PENDING,CURRENT,2024-11-29,B20,OK,N
EM212,C1211,A2211,46583.14,ACTIVE,SAVINGS,2020-03-28,B1,OK,Y
EM213,C1212,A2212,15091.35,INACTIVE,SAVINGS,2023-02-27,B4,OK,Y
EM214,C1213,A2213,22687.79,PENDING,SAVINGS,2021-10-11,B2,OK,Y
EM215,C1214,A2214,5245.66,PENDING,LOAN,2021-05-15,B15,OK,N
EM216,C1215,A2215,35080.1,ACTIVE,LOAN,2024-08-06,B8,OK,Y
EM217,C1216,A2216,20205.79,PENDING,CURRENT,2020-12-29,B18,OK,Y
EM218,C1217,A2217,38200.91,PENDING,LOAN,2021-07-17,B14,OK,N
EM219,C1218,A2218,35245.36,INACTIVE,CURRENT,2023-02-26,B11,OK,N
EM220,C1219,A2219,25396.65,PENDING,SAVINGS,2020-07-06,B7,OK,Y
EM221,C1220,A2220,340.37,ACTIVE,SAVINGS,2025-06-10,B14,OK,N
EM222,C1221,A2221,33290.61,INACTIVE,LOAN,2022-05-23,B16,OK,Y
EM223,C1222,A2222,28336.75,INACTIVE,CURRENT,2022-10-08,B16,OK,Y
EM224,C1223,A2223,16378.76,INACTIVE,LOAN,2023-09-14,B8,OK,N
EM225,C1224,A2224,36223.85,ACTIVE,LOAN,2021-10-17,B5,OK,Y
EM226,C1225,A2225,28105.24,PENDING,CURRENT,2020-10-18,B9,,N
EM227,C1226,A2226,24736.1,INACTIVE,LOAN,2020-04-08,B16,OK,N
EM228,C1227,A2227,17086.4,ACTIVE,LOAN,2022-01-24,B20,OK,Y
EM229,C1228,A2228,16022.59,PENDING,LOAN,2024-10-20,B5,OK,Y
EM230,C1229,A2229,36521.6,ACTIVE,SAVINGS,2020-08-23,B9,OK,N
EM231,C1230,A2230,39795.83,ACTIVE,CURRENT,2024-05-22,B11,OK,Y
EM232,C1231,A2231,16107.53,INACTIVE,CURRENT,2021-05-09,B2,OK,N
EM233,C1232,A2232,8905.43,INACTIVE,LOAN,2022-06-01,B20,OK,Y
EM234,C1233,A2233,49314.1,PENDING,LOAN,2024-07-12,B16,OK,N
EM235,C1234,A2234,575.49,ACTIVE,CURRENT,2022-01-15,B14,OK,Y
EM236,C1235,A2235,23394.15,PENDING,LOAN,2023-06-01,B19,OK,Y
EM237,C1236,A2236,2281.51,ACTIVE,CURRENT,2020-11-09,B11,OK,Y
EM238,C1237,A2237,40420.63,PENDING,CURRENT,2021-07-14,B4,OK,Y
EM239,C1238,A2238,38157.31,PENDING,SAVINGS,2024-06-08,B1,OK,Y
EM240,C1239,A2239,12554.78,PENDING,CURRENT,2020-10-04,B18,OK,N
EM241,C1240,A2240,,PENDING,LOAN,2022-05-19,B20,OK,Y
EM242,C1241,A2241,26029.53,ACTIVE,LOAN,2021-11-05,B11,OK,Y
EM243,C1242,A2242,32760.25,INACTIVE,LOAN,2025-03-07,B19,OK,Y
EM244,C1243,A2243,33111.29,ACTIVE,SAVINGS,2025-06-02,B3,OK,Y
EM245,C1244,A2244,26317.37,ACTIVE,LOAN,2020-03-06,B4,OK,N
EM246,C1245,A2245,26019.52,ACTIVE,SAVINGS,2020-10-21,B8,OK,N
EM247,C1246,A2246,23458.7,PENDING,CURRENT,2023-01-04,B4,OK,Y
EM248,C1247,A2247,19845.71,ACTIVE,SAVINGS,2021-11-26,B10,OK,N
EM249,C1248,A2248,46992.99,INACTIVE,SAVINGS,2020-03-27,B4,OK,Y
EM250,C1249,A2249,2573.67,ACTIVE,CURRENT,2020-06-29,B2,OK,N
EM251,C1250,A2250,35761.44,ACTIVE,CURRENT,2024-09-07,B3,,N
EM252,C1251,A2251,35296.96,PENDING,SAVINGS,2020-07-16,B4,OK,Y
EM253,C1252,A2252,46258.89,PENDING,LOAN,2021-04-21,B9,OK,N
EM254,C1253,A2253,37195.8,ACTIVE,SAVINGS,2022-08-05,B13,OK,N
EM255,C1254,A2254,17371.73,PENDING,CURRENT,2022-12-30,B4,OK,N
EM256,C1255,A2255,25808.89,INACTIVE,LOAN,2021-06-04,B15,OK,Y
EM257,C1256,A2256,29758.07,ACTIVE,CURRENT,2020-12-15,B11,OK,N
EM258,C1257,A2257,24418.36,ACTIVE,CURRENT,2021-12-23,B11,OK,Y
EM259,C1258,A2258,339.18,ACTIVE,CURRENT,2021-11-11,B3,OK,N
EM260,C1259,A2259,232.64,PENDING,CURRENT,2022-10-07,B4,OK,Y
EM261,C1260,A2260,3898.5,ACTIVE,SAVINGS,2024-12-12,B10,OK,Y
EM262,C1261,A2261,11671.73,ACTIVE,SAVINGS,2023-07-27,B15,OK,N
EM263,C1262,A2262,49665.37,ACTIVE,LOAN,2024-08-07,B20,OK,N
EM264,C1263,A2263,24481.64,ACTIVE,SAVINGS,2021-05-04,B3,OK,N
EM265,C1264,A2264,12375.34,ACTIVE,SAVINGS,2020-01-06,B1,OK,Y
EM266,C1265,A2265,8054.19,ACTIVE,LOAN,2023-05-27,B4,OK,N
EM267,C1266,A2266,43046.2,PENDING,SAVINGS,2020-08-12,B19,OK,Y
EM268,C1267,A2267,35192.11,ACTIVE,SAVINGS,2021-05-17,B1,OK,N
EM269,C1268,A2268,14597.64,ACTIVE,SAVINGS,2021-11-11,B13,OK,Y
EM270,C1269,A2269,25522.5,ACTIVE,CURRENT,2020-08-21,B7,OK,Y
EM271,C1270,A2270,10716.3,ACTIVE,LOAN,2020-12-11,B9,OK,Y
EM272,C1271,A2271,10096.78,INACTIVE,SAVINGS,2023-06-30,B14,OK,Y
EM273,C1272,A2272,44097.99,PENDING,LOAN,2023-09-29,B17,OK,Y
EM274,C1273,A2273,30004.06,INACTIVE,SAVINGS,2020-07-20,B6,OK,Y
EM275,C1274,A2274,28515.09,PENDING,SAVINGS,2022-02-02,B16,OK,N
EM276,C1275,A2275,20103.65,PENDING,CURRENT,2023-07-28,B17,,N
EM277,C1276,A2276,49743.12,ACTIVE,SAVINGS,2022-12-09,B8,OK,N
EM278,C1277,A2277,35818.59,INACTIVE,SAVINGS,2020-11-26,B4,OK,N
EM279,C1278,A2278,43639.67,INACTIVE,SAVINGS,2020-07-10,B20,OK,N
EM280,C1279,A2279,43727.48,ACTIVE,LOAN,2023-12-06,B14,OK,N
EM281,C1280,A2280,,INACTIVE,LOAN,2022-10-08,B2,OK,Y
EM282,C1281,A2281,30207.09,PENDING,CURRENT,2020-05-02,B13,OK,Y
EM283,C1282,A2282,35395.1,ACTIVE,LOAN,2023-12-29,B12,OK,Y
EM284,C1283,A2283,43846.14,INACTIVE,LOAN,2023-12-07,B7,OK,Y
EM285,C1284,A2284,39898.41,INACTIVE,CURRENT,2022-10-29,B8,OK,N
EM286,C1285,A2285,32122.4,INACTIVE,LOAN,2024-06-08,B19,OK,N
EM287,C1286,A2286,32799.31,PENDING,LOAN,2021-06-13,B16,OK,Y
EM288,C1287,A2287,49518.66,PENDING,SAVINGS,2024-04-20,B9,OK,N
EM289,C1288,A2288,7077.48,INACTIVE,LOAN,2023-07-27,B9,OK,Y
EM290,C1289,A2289,14560.49,PENDING,CURRENT,2021-12-14,B8,OK,N
EM291,C1290,A2290,13016.8,ACTIVE,LOAN,2025-01-18,B15,OK,N
EM292,C1291,A2291,23975.62,ACTIVE,CURRENT,2021-01-24,B19,OK,Y
EM293,C1292,A2292,23309.15,PENDING,CURRENT,2024-08-11,B3,OK,Y
EM294,C1293,A2293,24420.02,PENDING,LOAN,2025-05-08,B9,OK,N
EM295,C1294,A2294,42669.98,INACTIVE,CURRENT,2022-08-05,B18,OK,N
EM296,C1295,A2295,40230.45,ACTIVE,CURRENT,2022-04-25,B12,OK,N
EM297,C1296,A2296,43128.08,PENDING,SAVINGS,2024-09-12,B8,OK,N
EM298,C1297,A2297,13833.04,INACTIVE,LOAN,2020-08-30,B5,OK,N
EM299,C1298,A2298,34239.18,ACTIVE,LOAN,2024-07-08,B3,OK,N
EM300,C1299,A2299,4253.08,INACTIVE,SAVINGS,2020-07-28,B7,OK,N
EM301,C1300,A2300,21964.84,PENDING,CURRENT,2021-02-20,B15,,N
EM302,C1301,A2301,49695.84,ACTIVE,SAVINGS,2021-05-15,B3,OK,Y
EM303,C1302,A2302,39066.12,INACTIVE,CURRENT,2020-12-04,B9,OK,Y
EM304,C1303,A2303,37848.25,ACTIVE,SAVINGS,2021-06-24,B13,OK,N
EM305,C1304,A2304,30877.53,PENDING,CURRENT,2023-08-30,B7,OK,N
EM306,C1305,A2305,1954.67,INACTIVE,CURRENT,2023-05-12,B10,OK,N
EM307,C1306,A2306,17913.41,ACTIVE,LOAN,2021-10-11,B5,OK,Y
EM308,C1307,A2307,34769.83,ACTIVE,LOAN,2024-03-17,B15,OK,Y
EM309,C1308,A2308,41472.74,INACTIVE,LOAN,2021-10-19,B8,OK,Y
EM310,C1309,A2309,34277.84,PENDING,CURRENT,2021-05-18,B17,OK,N
EM311,C1310,A2310,11192.83,PENDING,SAVINGS,2025-01-10,B10,OK,N
EM312,C1311,A2311,9445.33,ACTIVE,SAVINGS,2025-03-10,B16,OK,N
EM313,C1312,A2312,23257.69,PENDING,LOAN,2023-08-19,B14,OK,Y
