account_id,customer_id,amount,status,type,date,branch,remarks,flag
A2082,C1082,5350.51,ACTIVE,CURRENT,2024-10-08,B2,OK,N
A2083,C1083,23488.45,PENDING,CURRENT,2023-01-14,B12,OK,Y
A2084,C1084,35552.58,ACTIVE,LOAN,2021-02-16,B9,OK,Y
A2085,C1085,39252.97,INACTIVE,SAVINGS,2023-08-17,B9,OK,Y
A2086,C1086,28288.93,ACTIVE,SAVINGS,2023-11-04,B11,OK,N
A2087,C1087,4584.66,INACTIVE,LOAN,2021-12-04,B19,OK,Y
A2088,C1088,9406.32,ACTIVE,LOAN,2020-08-26,B2,OK,Y
A2089,C1089,27759.15,INACTIVE,SAVINGS,2020-11-27,B18,OK,Y
A2090,C1090,11404.33,ACTIVE,SAVINGS,2022-10-28,B12,OK,N
A2091,C1091,13348.34,ACTIVE,CURRENT,2023-03-29,B8,OK,Y
A2092,C1092,42805.97,INACTIVE,SAVINGS,2025-03-25,B1,OK,N
A2093,C1093,30549.82,INACTIVE,CURRENT,2022-05-14,B14,OK,Y
A2094,C1094,9271.25,PENDING,SAVINGS,2025-03-21,B14,OK,N
A2095,C1095,17745.59,INACTIVE,LOAN,2025-02-08,B5,OK,Y
A2096,C1096,39461.41,ACTIVE,SAVINGS,2022-01-18,B3,OK,N
A2097,C1097,16100.74,ACTIVE,SAVINGS,2021-06-11,B5,OK,N
A2098,C1098,5368.78,PENDING,LOAN,2025-01-14,B20,OK,Y
A2099,C1099,23613.63,INACTIVE,LOAN,2021-08-19,B7,OK,Y
A2100,C1100,34480.55,INACTIVE,LOAN,2020-03-12,B13,,N
A2101,C1101,26769.65,ACTIVE,SAVINGS,2021-04-19,B16,OK,Y
A2102,C1102,44307.49,PENDING,LOAN,2022-06-12,B7,OK,N
A2103,C1103,4926.88,ACTIVE,CURRENT,2023-03-23,B4,OK,Y
A2104,C1104,24828.42,PENDING,LOAN,2025-04-14,B20,OK,N
A2105,C1105,20022.46,INACTIVE,SAVINGS,2023-07-05,B13,OK,Y
A2106,C1106,21294.22,ACTIVE,CURRENT,2022-03-06,B20,OK,N
A2107,C1107,31930.01,ACTIVE,LOAN,2021-07-09,B16,OK,N
A2108,C1108,13226.34,ACTIVE,CURRENT,2024-05-21,B5,OK,N
A2109,C1109,47171.6,PENDING,SAVINGS,2023-02-24,B4,OK,N
A2110,C1110,22714.48,ACTIVE,CURRENT,2020-10-11,B3,OK,N
A2111,C1111,35264.39,INACTIVE,SAVINGS,2022-09-07,B19,OK,Y
A2112,C1112,38759.34,PENDING,CURRENT,2022-10-04,B8,OK,Y
A2113,C1113,18805.63,ACTIVE,CURRENT,2023-05-15,B3,OK,Y
A2114,C1114,33641.05,INACTIVE,SAVINGS,2021-08-24,B20,OK,Y
A2115,C1115,17387.14,ACTIVE,SAVINGS,2020-05-29,B2,OK,N
A2116,C1116,17728.15,ACTIVE,LOAN,2022-08-21,B20,OK,N
A2117,C1117,42523.29,ACTIVE,LOAN,2021-12-28,B17,OK,Y
A2118,C1118,16373.12,ACTIVE,SAVINGS,2023-07-23,B7,OK,N
A2119,C1119,47831.37,INACTIVE,LOAN,2021-10-23,B10,OK,Y
A2120,C1120,,PENDING,CURRENT,2021-06-01,B8,OK,Y
A2121,C1121,48615.03,ACTIVE,SAVINGS,2021-06-15,B13,OK,Y
A2122,C1122,6895.22,PENDING,LOAN,2020-05-31,B11,OK,N
A2123,C1123,45418.25,ACTIVE,SAVINGS,2020-03-20,B15,OK,Y
A2124,C1124,20042.04,ACTIVE,LOAN,2025-01-10,B10,OK,Y
A2125,C1125,36073.5,INACTIVE,LOAN,2024-06-14,B15,,N
A2126,C1126,4180.31,ACTIVE,SAVINGS,2020-09-02,B17,OK,N
A2127,C1127,35740.08,PENDING,CURRENT,2020-01-21,B20,OK,Y
A2128,C1128,22913.47,PENDING,SAVINGS,2021-01-28,B1,OK,Y
A2129,C1129,15396.46,PENDING,LOAN,2021-08-25,B10,OK,N
A2130,C1130,46026.64,INACTIVE,CURRENT,2020-04-07,B1,OK,Y
A2131,C1131,31347.24,INACTIVE,SAVINGS,2021-02-26,B3,OK,N
A2132,C1132,22613.21,INACTIVE,SAVINGS,2021-05-20,B4,OK,Y
A2133,C1133,1516.0,PENDING,SAVINGS,2023-06-30,B20,OK,Y
A2134,C1134,22016.91,PENDING,SAVINGS,2023-02-19,B8,OK,N
A2135,C1135,8651.39,PENDING,SAVINGS,2021-04-03,B5,OK,Y
A2136,C1136,808.7,ACTIVE,CURRENT,2025-02-14,B19,OK,Y
A2137,C1137,25877.58,INACTIVE,SAVINGS,2022-03-26,B1,OK,N
A2138,C1138,17602.47,PENDING,CURRENT,2024-11-24,B13,OK,N
A2139,C1139,13954.48,ACTIVE,CURRENT,2023-02-26,B13,OK,Y
A2140,C1140,45086.86,ACTIVE,LOAN,2020-02-22,B17,OK,Y
A2141,C1141,42312.78,ACTIVE,SAVINGS,2021-10-14,B13,OK,Y
A2142,C1142,44014.38,PENDING,LOAN,2022-08-30,B17,OK,Y
A2143,C1143,39914.09,ACTIVE,SAVINGS,2023-02-11,B14,OK,N
A2144,C1144,27219.44,PENDING,SAVINGS,2021-03-21,B7,OK,N
A2145,C1145,35321.23,INACTIVE,LOAN,2020-02-16,B19,OK,N
A2146,C1146,9543.85,PENDING,LOAN,2022-12-28,B6,OK,Y
A2147,C1147,4405.63,INACTIVE,SAVINGS,2020-04-17,B13,OK,N
A2148,C1148,752.7,ACTIVE,SAVINGS,2023-12-21,B19,OK,N
A2149,C1149,23749.32,ACTIVE,SAVINGS,2023-03-05,B15,OK,Y
A2150,C1150,48494.27,PENDING,CURRENT,2024-11-22,B8,,Y
A2151,C1151,6363.52,PENDING,CURRENT,2022-10-07,B17,OK,N
A2152,C1152,21640.01,PENDING,SAVINGS,2024-09-29,B15,OK,N
A2153,C1153,47089.14,INACTIVE,CURRENT,2024-07-01,B19,OK,Y
A2154,C1154,18867.59,PENDING,SAVINGS,2021-01-05,B20,OK,N
A2155,C1155,3794.01,INACTIVE,LOAN,2022-10-08,B2,OK,N
A2156,C1156,45021.61,PENDING,LOAN,2024-04-14,B8,OK,N
A2157,C1157,17563.66,ACTIVE,CURRENT,2023-10-18,B2,OK,N
A2158,C1158,42131.06,PENDING,LOAN,2024-09-24,B11,OK,Y
A2159,C1159,28595.96,INACTIVE,LOAN,2021-09-30,B15,OK,Y
A2160,C1160,,INACTIVE,LOAN,2022-02-24,B1,OK,N
A2161,C1161,6029.66,INACTIVE,SAVINGS,2023-03-04,B3,OK,N
A2162,C1162,31267.05,PENDING,SAVINGS,2021-03-24,B10,OK,Y
A2163,C1163,8530.13,INACTIVE,CURRENT,2023-07-28,B15,OK,N
A2164,C1164,33232.8,ACTIVE,LOAN,2022-09-27,B19,OK,Y
A2165,C1165,46646.76,ACTIVE,SAVINGS,2020-02-08,B9,OK,Y
A2166,C1166,13444.21,ACTIVE,LOAN,2022-09-04,B20,OK,N
A2167,C1167,861.77,INACTIVE,SAVINGS,2024-10-02,B8,OK,N
A2168,C1168,36753.64,PENDING,SAVINGS,2020-02-16,B15,OK,Y
A2169,C1169,19691.38,ACTIVE,SAVINGS,2020-06-15,B13,OK,Y
A2170,C1170,8719.86,ACTIVE,CURRENT,2023-01-07,B20,OK,Y
A2171,C1171,1919.23,INACTIVE,SAVINGS,2024-07-27,B9,OK,N
A2172,C1172,9450.99,ACTIVE,LOAN,2024-09-22,B13,OK,N
A2173,C1173,19927.97,INACTIVE,CURRENT,2022-06-25,B11,OK,Y
A2174,C1174,3924.18,PENDING,LOAN,2022-05-08,B6,OK,N
A2175,C1175,8027.09,PENDING,LOAN,2024-05-11,B17,,Y
A2176,C1176,13367.18,INACTIVE,LOAN,2022-09-12,B10,OK,N
A2177,C1177,46810.82,INACTIVE,CURRENT,2023-02-03,B13,OK,N
A2178,C1178,12014.55,PENDING,LOAN,2024-07-20,B17,OK,Y
A2179,C1179,13243.94,PENDING,SAVINGS,2021-06-23,B13,OK,Y
A2180,C1180,13205.9,PENDING,CURRENT,2022-10-01,B1,OK,Y
A2181,C1181,41038.49,ACTIVE,SAVINGS,2020-11-07,B4,OK,N
A2182,C1182,2848.71,ACTIVE,SAVINGS,2022-08-17,B18,OK,N
A2183,C1183,39268.06,ACTIVE,CURRENT,2020-04-15,B17,OK,N
A2184,C1184,44460.21,PENDING,SAVINGS,2021-12-29,B20,OK,N
A2185,C1185,5535.5,INACTIVE,CURRENT,2025-04-01,B13,OK,N
A2186,C1186,4140.01,PENDING,CURRENT,2023-02-22,B12,OK,N
A2187,C1187,21574.06,PENDING,LOAN,2022-06-11,B19,OK,N
A2188,C1188,9339.89,ACTIVE,CURRENT,2025-05-24,B12,OK,N
A2189,C1189,3373.16,PENDING,CURRENT,2023-03-25,B6,OK,Y
A2190,C1190,38208.62,PENDING,SAVINGS,2022-12-24,B7,OK,N
A2191,C1191,47333.82,ACTIVE,CURRENT,2023-06-16,B17,OK,Y
A2192,C1192,38654.96,INACTIVE,SAVINGS,2024-10-05,B5,OK,N
A2193,C1193,21292.86,INACTIVE,LOAN,2024-05-16,B2,OK,Y
A2194,C1194,1228.02,ACTIVE,SAVINGS,2021-03-13,B13,OK,N
A2195,C1195,25512.72,INACTIVE,CURRENT,2023-05-06,B11,OK,N
A2196,C1196,45017.88,ACTIVE,LOAN,2023-06-05,B2,OK,Y
A2197,C1197,45877.7,PENDING,LOAN,2022-08-20,B6,OK,Y
A2198,C1198,418.02,ACTIVE,SAVINGS,2021-07-24,B7,OK,N
A2199,C1199,20118.85,PENDING,LOAN,2021-07-09,B9,OK,N
A2200,C1200,,ACTIVE,LOAN,2022-03-20,B15,,Y
A2201,C1201,3568.2,PENDING,CURRENT,2020-10-02,B20,OK,Y
A2202,C1202,31475.26,INACTIVE,LOAN,2020-04-25,B10,OK,N
A2203,C1203,38554.43,ACTIVE,LOAN,2023-06-25,B15,OK,N
A2204,C1204,29244.82,PENDING,CURRENT,2025-02-26,B13,OK,Y
A2205,C1205,29193.01,PENDING,CURRENT,2024-10-15,B4,OK,N
A2206,C1206,20315.04,ACTIVE,LOAN,2024-12-09,B1,OK,Y
A2207,C1207,45746.51,PENDING,LOAN,2022-04-16,B12,OK,Y
A2208,C1208,20231.07,ACTIVE,SAVINGS,2025-03-16,B10,OK,N
A2209,C1209,41196.49,ACTIVE,LOAN,2022-08-18,B10,OK,N
A2210,C1210,37061.29,ACTIVE,CURRENT,2023-01-09,B19,OK,N
A2211,C1211,45667.39,INACTIVE,SAVINGS,2022-07-17,B13,OK,Y
A2212,C1212,25171.48,PENDING,SAVINGS,2023-05-24,B19,OK,N
A2213,C1213,13032.28,INACTIVE,LOAN,2020-03-09,B10,OK,Y
A2214,C1214,42115.71,INACTIVE,CURRENT,2021-07-15,B4,OK,N
A2215,C1215,48275.13,ACTIVE,LOAN,2025-03-07,B4,OK,N
A2216,C1216,47335.42,INACTIVE,SAVINGS,2024-05-21,B8,OK,Y
A2217,C1217,11249.47,ACTIVE,SAVINGS,2024-01-30,B2,OK,Y
A2218,C1218,2200.62,INACTIVE,SAVINGS,2024-07-27,B12,OK,Y
A2219,C1219,2510.0,INACTIVE,LOAN,2023-07-02,B8,OK,Y
A2220,C1220,26819.8,INACTIVE,SAVINGS,2021-12-22,B20,OK,N
A2221,C1221,41338.36,PENDING,LOAN,2020-12-16,B11,OK,Y
A2222,C1222,46539.25,ACTIVE,SAVINGS,2024-07-13,B19,OK,N
A2223,C1223,4980.31,ACTIVE,SAVINGS,2024-11-19,B2,OK,N
A2224,C1224,27441.56,PENDING,LOAN,2025-04-22,B9,OK,N
A2225,C1225,19167.23,PENDING,SAVINGS,2021-09-18,B5,,Y
A2226,C1226,18308.17,PENDING,CURRENT,2020-07-12,B14,OK,Y
A2227,C1227,13746.47,INACTIVE,CURRENT,2024-04-04,B7,OK,N
A2228,C1228,46117.43,ACTIVE,LOAN,2021-04-01,B20,OK,Y
A2229,C1229,11511.26,INACTIVE,CURRENT,2023-08-06,B5,OK,N
A2230,C1230,33455.13,INACTIVE,LOAN,2022-06-20,B4,OK,N
A2231,C1231,2660.33,INACTIVE,LOAN,2022-11-21,B11,OK,Y
A2232,C1232,48850.48,ACTIVE,LOAN,2021-05-10,B13,OK,N
A2233,C1233,12828.61,ACTIVE,CURRENT,2024-04-30,B17,OK,Y
A2234,C1234,21391.96,INACTIVE,SAVINGS,2022-11-23,B9,OK,Y
A2235,C1235,10970.16,INACTIVE,CURRENT,2020-10-18,B4,OK,N
A2236,C1236,41158.23,PENDING,SAVINGS,2020-11-26,B7,OK,N
A2237,C1237,18291.15,PENDING,CURRENT,2021-12-12,B9,OK,Y
A2238,C1238,1561.35,INACTIVE,CURRENT,2025-01-21,B20,OK,Y
A2239,C1239,17104.83,ACTIVE,LOAN,2021-02-15,B9,OK,Y
A2240,C1240,,ACTIVE,CURRENT,2023-11-10,B12,OK,N
A2241,C1241,37639.46,ACTIVE,SAVINGS,2025-05-24,B1,OK,N
A2242,C1242,16959.38,INACTIVE,LOAN,2024-06-15,B14,OK,N
A2243,C1243,49977.11,PENDING,CURRENT,2025-04-19,B13,OK,N
A2244,C1244,38662.05,PENDING,SAVINGS,2025-03-17,B14,OK,Y
A2245,C1245,30638.4,INACTIVE,CURRENT,2024-01-08,B1,OK,Y
A2246,C1246,29739.79,ACTIVE,SAVINGS,2023-06-28,B8,OK,N
A2247,C1247,42404.22,INACTIVE,CURRENT,2023-06-26,B1,OK,Y
A2248,C1248,19849.19,PENDING,LOAN,2021-03-01,B16,OK,N
A2249,C1249,24692.7,INACTIVE,LOAN,2025-02-28,B6,OK,N
A2250,C1250,10755.33,INACTIVE,LOAN,2024-05-13,B2,,N
A2251,C1251,14657.17,ACTIVE,CURRENT,2024-08-12,B17,OK,N
A2252,C1252,23804.59,INACTIVE,CURRENT,2022-12-03,B11,OK,Y
A2253,C1253,13901.87,INACTIVE,LOAN,2025-02-24,B19,OK,N
A2254,C1254,24865.87,INACTIVE,SAVINGS,2021-08-16,B9,OK,N
A2255,C1255,48707.82,INACTIVE,CURRENT,2024-12-10,B15,OK,N
A2256,C1256,36044.36,INACTIVE,SAVINGS,2020-07-08,B19,OK,Y
A2257,C1257,48576.68,INACTIVE,SAVINGS,2022-12-06,B10,OK,Y
A2258,C1258,20781.99,ACTIVE,LOAN,2023-07-06,B11,OK,Y
A2259,C1259,46071.32,INACTIVE,SAVINGS,2023-07-03,B12,OK,N
A2260,C1260,46878.46,ACTIVE,LOAN,2020-06-20,B2,OK,N
A2261,C1261,961.14,INACTIVE,SAVINGS,2020-12-11,B9,OK,Y
A2262,C1262,42606.21,INACTIVE,CURRENT,2023-07-13,B6,OK,Y
A2263,C1263,1954.3,INACTIVE,LOAN,2023-11-02,B4,OK,N
A2264,C1264,14400.52,ACTIVE,SAVINGS,2021-11-14,B14,OK,N
A2265,C1265,30001.17,PENDING,LOAN,2023-10-12,B3,OK,N
A2266,C1266,39810.12,INACTIVE,LOAN,2021-01-02,B8,OK,N
A2267,C1267,43348.02,PENDING,CURRENT,2023-10-21,B13,OK,Y
A2268,C1268,12789.8,ACTIVE,CURRENT,2020-03-07,B9,OK,Y
A2269,C1269,8996.37,INACTIVE,CURRENT,2023-11-22,B14,OK,N
A2270,C1270,5026.3,ACTIVE,CURRENT,2020-12-25,B9,OK,Y
A2271,C1271,6313.49,PENDING,CURRENT,2023-02-02,B1,OK,N
A2272,C1272,146.64,INACTIVE,CURRENT,2020-07-17,B9,OK,Y
A2273,C1273,29894.95,ACTIVE,SAVINGS,2020-12-24,B19,OK,N
A2274,C1274,26543.52,PENDING,SAVINGS,2021-03-27,B13,OK,Y
A2275,C1275,33589.05,PENDING,CURRENT,2024-04-14,B20,,Y
A2276,C1276,2678.55,INACTIVE,LOAN,2022-04-28,B7,OK,Y
A2277,C1277,11111.75,PENDING,CURRENT,2023-01-10,B18,OK,N
A2278,C1278,42610.3,PENDING,CURRENT,2021-01-27,B17,OK,N
A2279,C1279,41041.14,ACTIVE,LOAN,2021-08-21,B20,OK,N
A2280,C1280,,PENDING,SAVINGS,2023-12-29,B9,OK,N
A2281,C1281,28923.84,INACTIVE,LOAN,2023-08-05,B8,OK,Y
A2282,C1282,26859.57,ACTIVE,SAVINGS,2021-03-23,B9,OK,Y
A2283,C1283,36912.83,ACTIVE,SAVINGS,2023-08-31,B2,OK,Y
A2284,C1284,19400.31,INACTIVE,SAVINGS,2023-07-24,B9,OK,N
A2285,C1285,2098.76,ACTIVE,SAVINGS,2024-01-13,B16,OK,N
A2286,C1286,15074.87,INACTIVE,CURRENT,2024-05-13,B12,OK,Y
A2287,C1287,14336.56,INACTIVE,CURRENT,2022-09-16,B20,OK,Y
A2288,C1288,39259.65,INACTIVE,SAVINGS,2022-03-09,B2,OK,Y
A2289,C1289,13018.05,INACTIVE,SAVINGS,2022-07-18,B10,OK,Y
A2290,C1290,13451.37,ACTIVE,LOAN,2023-10-21,B20,OK,N
A2291,C1291,39222.39,INACTIVE,CURRENT,2024-03-24,B12,OK,N
A2292,C1292,38009.9,PENDING,CURRENT,2024-10-31,B13,OK,N
A2293,C1293,44446.26,ACTIVE,LOAN,2020-11-25,B11,OK,N
A2294,C1294,28426.05,PENDING,CURRENT,2020-09-09,B13,OK,Y
A2295,C1295,21692.67,ACTIVE,SAVINGS,2021-04-14,B16,OK,N
A2296,C1296,8653.21,ACTIVE,SAVINGS,2023-06-22,B4,OK,N
A2297,C1297,16164.16,INACTIVE,SAVINGS,2022-02-13,B16,OK,Y
A2298,C1298,1878.52,ACTIVE,LOAN,2021-05-26,B5,OK,Y
A2299,C1299,13691.82,PENDING,SAVINGS,2020-01-11,B12,OK,N
A2300,C1300,41597.94,ACTIVE,SAVINGS,2025-03-25,B10,,Y
A2301,C1301,6380.26,PENDING,SAVINGS,2023-04-22,B14,OK,N
A2302,C1302,38266.81,ACTIVE,SAVINGS,2025-01-18,B7,OK,Y
A2303,C1303,30105.51,ACTIVE,CURRENT,2023-01-13,B16,OK,Y
A2304,C1304,30165.31,INACTIVE,SAVINGS,2021-02-21,B3,OK,Y
A2305,C1305,12233.82,ACTIVE,LOAN,2023-06-11,B5,OK,N
A2306,C1306,48311.59,PENDING,CURRENT,2020-06-10,B12,OK,N
A2307,C1307,8972.73,PENDING,CURRENT,2022-06-06,B18,OK,Y
A2308,C1308,46377.42,PENDING,LOAN,2020-08-28,B14,OK,N
A2309,C1309,18392.55,INACTIVE,LOAN,2023-02-25,B13,OK,N
A2310,C1310,33486.05,ACTIVE,SAVINGS,2024-04-17,B2,OK,N
A2311,C1311,43150.38,INACTIVE,SAVINGS,2023-09-20,B15,OK,N
A2312,C1312,17609.94,INACTIVE,SAVINGS,2023-01-23,B16,OK,N
A2313,C1313,29894.24,ACTIVE,LOAN,2021-03-27,B10,OK,Y
A2314,C1314,41617.18,ACTIVE,LOAN,2021-04-09,B14,OK,Y
A2315,C1315,33551.04,INACTIVE,CURRENT,2024-01-08,B2,OK,N
A2316,C1316,10208.3,PENDING,SAVINGS,2021-09-24,B10,OK,Y
A2317,C1317,21438.9,INACTIVE,CURRENT,2022-05-09,B8,OK,Y
A2318,C1318,8439.47,ACTIVE,LOAN,2022-02-21,B6,OK,Y
A2319,C1319,25725.2,INACTIVE,CURRENT,2023-01-29,B14,OK,Y
A2320,C1320,,PENDING,LOAN,2023-09-26,B14,OK,N
A2321,C1321,48138.2,PENDING,SAVINGS,2023-02-20,B2,OK,Y
A2322,C1322,32358.31,INACTIVE,SAVINGS,2025-06-21,B5,OK,N
A2323,C1323,42060.91,ACTIVE,CURRENT,2020-10-26,B5,OK,N
A2324,C1324,49681.93,INACTIVE,LOAN,2020-07-09,B17,OK,Y
A2325,C1325,3557.3,INACTIVE,CURRENT,2022-01-20,B7,,Y
A2326,C1326,26495.43,ACTIVE,CURRENT,2025-05-07,B7,OK,Y
A2327,C1327,11843.55,PENDING,LOAN,2021-11-24,B10,OK,N
A2328,C1328,41292.39,PENDING,LOAN,2024-07-12,B17,OK,Y
A2329,C1329,37967.94,ACTIVE,CURRENT,2020-09-09,B19,OK,Y
A2330,C1330,37952.86,PENDING,CURRENT,2020-07-01,B17,OK,Y
A2331,C1331,22811.35,ACTIVE,CURRENT,2024-01-16,B5,OK,Y
A2332,C1332,39575.2,PENDING,SAVINGS,2021-10-16,B12,OK,N
A2333,C1333,48889.67,ACTIVE,CURRENT,2022-08-07,B3,OK,N
A2334,C1334,18300.1,INACTIVE,SAVINGS,2023-04-11,B12,OK,N
A2335,C1335,41702.7,PENDING,SAVINGS,2020-07-13,B15,OK,N
A2336,C1336,15341.6,ACTIVE,CURRENT,2024-02-14,B8,OK,N
A2337,C1337,45594.39,ACTIVE,SAVINGS,2020-04-14,B1,OK,Y
A2338,C1338,30058.83,INACTIVE,LOAN,2020-03-16,B9,OK,N
A2339,C1339,48195.32,PENDING,LOAN,2021-05-26,B1,OK,Y
A2340,C1340,49397.39,INACTIVE,CURRENT,2021-07-06,B16,OK,Y
A2341,C1341,19293.52,INACTIVE,LOAN,2022-05-08,B8,OK,Y
