atm_txn_id,customer_id,account_id,amount,status,type,date,branch,remarks,flag
AT38,C1037,A2037,46234.04,ACTIVE,LOAN,2021-10-10,B15,OK,Y
AT39,C1038,A2038,5002.62,PENDING,LOAN,2024-09-18,B13,OK,N
AT40,C1039,A2039,8264.17,INACTIVE,SAVINGS,2024-11-26,B3,OK,Y
AT41,C1040,A2040,,ACTIVE,LOAN,2021-05-14,B1,OK,Y
AT42,C1041,A2041,19743.76,PENDING,LOAN,2021-09-30,B10,OK,Y
AT43,C1042,A2042,409.86,ACTIVE,SAVINGS,2023-07-06,B6,OK,N
AT44,C1043,A2043,27552.06,INACTIVE,LOAN,2023-05-10,B20,OK,Y
AT45,C1044,A2044,42145.69,ACTIVE,CURRENT,2024-01-28,B18,OK,N
AT46,C1045,A2045,15469.77,ACTIVE,CURRENT,2023-09-02,B5,OK,N
AT47,C1046,A2046,14441.17,ACTIVE,CURRENT,2021-02-15,B11,OK,N
AT48,C1047,A2047,8404.1,INACTIVE,CURRENT,2020-06-21,B20,OK,Y
AT49,C1048,A2048,15881.66,INACTIVE,CURRENT,2025-05-04,B14,OK,Y
AT50,C1049,A2049,8158.45,ACTIVE,LOAN,2023-05-22,B3,OK,Y
AT51,C1050,A2050,20571.61,INACTIVE,LOAN,2023-02-08,B18,,N
AT52,C1051,A2051,30132.29,ACTIVE,SAVINGS,2024-11-11,B7,OK,N
AT53,C1052,A2052,14410.56,INACTIVE,SAVINGS,2020-01-28,B15,OK,N
AT54,C1053,A2053,26441.1,PENDING,CURRENT,2024-01-09,B13,OK,Y
AT55,C1054,A2054,28000.21,INACTIVE,SAVINGS,2020-03-14,B12,OK,Y
AT56,C1055,A2055,28076.24,ACTIVE,SAVINGS,2022-11-27,B20,OK,N
AT57,C1056,A2056,16557.36,ACTIVE,SAVINGS,2021-07-05,B5,OK,Y
AT58,C1057,A2057,11720.72,ACTIVE,CURRENT,2021-07-11,B4,OK,N
AT59,C1058,A2058,41583.68,PENDING,CURRENT,2022-09-27,B10,OK,Y
AT60,C1059,A2059,46740.32,ACTIVE,LOAN,2024-01-05,B2,OK,Y
AT61,C1060,A2060,40738.14,PENDING,SAVINGS,2022-07-04,B1,OK,N
AT62,C1061,A2061,16776.96,PENDING,SAVINGS,2020-05-08,B1,OK,N
AT63,C1062,A2062,22532.5,PENDING,CURRENT,2022-07-25,B19,OK,Y
AT64,C1063,A2063,14844.1,INACTIVE,SAVINGS,2023-10-19,B19,OK,N
AT65,C1064,A2064,16122.31,ACTIVE,CURRENT,2022-11-07,B3,OK,Y
AT66,C1065,A2065,1467.51,ACTIVE,SAVINGS,2022-08-18,B10,OK,Y
AT67,C1066,A2066,47308.48,INACTIVE,CURRENT,2020-07-05,B20,OK,Y
AT68,C1067,A2067,38869.98,PENDING,SAVINGS,2022-10-11,B11,OK,Y
AT69,C1068,A2068,48335.9,ACTIVE,LOAN,2020-11-18,B19,OK,Y
AT70,C1069,A2069,19077.64,INACTIVE,LOAN,2022-04-29,B12,OK,N
AT71,C1070,A2070,36554.89,ACTIVE,SAVINGS,2020-08-21,B1,OK,N
AT72,C1071,A2071,21156.07,INACTIVE,LOAN,2021-08-06,B19,OK,Y
AT73,C1072,A2072,28229.16,PENDING,SAVINGS,2021-10-22,B5,OK,Y
AT74,C1073,A2073,36508.27,PENDING,CURRENT,2021-07-20,B2,OK,N
AT75,C1074,A2074,36855.06,ACTIVE,LOAN,2023-02-02,B11,OK,Y
AT76,C1075,A2075,9133.92,ACTIVE,SAVINGS,2022-02-04,B1,,N
AT77,C1076,A2076,35781.08,PENDING,CURRENT,2023-07-14,B14,OK,N
AT78,C1077,A2077,25846.26,PENDING,CURRENT,2024-10-06,B1,OK,Y
AT79,C1078,A2078,15958.26,ACTIVE,LOAN,2022-03-08,B15,OK,N
AT80,C1079,A2079,36361.63,INACTIVE,CURRENT,2025-03-21,B12,OK,Y
AT81,C1080,A2080,,PENDING,SAVINGS,2022-10-07,B10,OK,Y
AT82,C1081,A2081,37367.07,PENDING,LOAN,2024-02-26,B17,OK,N
AT83,C1082,A2082,38878.93,ACTIVE,CURRENT,2024-08-05,B4,OK,Y
AT84,C1083,A2083,38393.69,ACTIVE,SAVINGS,2020-11-06,B14,OK,N
AT85,C1084,A2084,24917.86,ACTIVE,LOAN,2024-06-18,B3,OK,Y
AT86,C1085,A2085,48789.06,PENDING,SAVINGS,2025-02-14,B18,OK,Y
AT87,C1086,A2086,11431.52,ACTIVE,CURRENT,2020-08-29,B4,OK,Y
AT88,C1087,A2087,12558.81,INACTIVE,LOAN,2024-04-26,B19,OK,Y
AT89,C1088,A2088,35239.92,INACTIVE,SAVINGS,2025-06-18,B10,OK,N
AT90,C1089,A2089,10700.74,INACTIVE,CURRENT,2024-06-27,B17,OK,Y
AT91,C1090,A2090,15945.27,PENDING,SAVINGS,2023-01-25,B7,OK,Y
AT92,C1091,A2091,24160.33,PENDING,CURRENT,2024-03-13,B2,OK,N
AT93,C1092,A2092,25526.47,ACTIVE,CURRENT,2022-11-17,B11,OK,N
AT94,C1093,A2093,6472.39,PENDING,SAVINGS,2024-10-27,B8,OK,N
AT95,C1094,A2094,13792.87,PENDING,CURRENT,2024-04-06,B15,OK,N
AT96,C1095,A2095,38609.32,PENDING,SAVINGS,2024-11-28,B7,OK,Y
AT97,C1096,A2096,44647.62,ACTIVE,LOAN,2025-04-07,B15,OK,N
AT98,C1097,A2097,19830.87,PENDING,LOAN,2021-02-08,B2,OK,Y
AT99,C1098,A2098,36199.97,PENDING,CURRENT,2025-05-06,B4,OK,N
AT100,C1099,A2099,42747.69,ACTIVE,SAVINGS,2022-09-19,B16,OK,N
AT101,C1100,A2100,41034.2,PENDING,SAVINGS,2024-11-03,B20,,Y
AT102,C1101,A2101,41279.99,ACTIVE,LOAN,2021-11-28,B18,OK,N
AT103,C1102,A2102,11650.26,INACTIVE,SAVINGS,2024-09-17,B6,OK,N
AT104,C1103,A2103,7710.83,INACTIVE,LOAN,2022-07-20,B12,OK,N
AT105,C1104,A2104,35239.93,ACTIVE,SAVINGS,2025-03-25,B15,OK,Y
AT106,C1105,A2105,14092.02,ACTIVE,LOAN,2024-07-16,B17,OK,Y
AT107,C1106,A2106,6564.44,INACTIVE,CURRENT,2022-05-31,B5,OK,N
AT108,C1107,A2107,43299.6,PENDING,LOAN,2023-12-11,B9,OK,N
AT109,C1108,A2108,31283.74,INACTIVE,SAVINGS,2022-09-08,B14,OK,N
AT110,C1109,A2109,2425.92,ACTIVE,LOAN,2021-04-04,B7,OK,N
AT111,C1110,A2110,46274.21,INACTIVE,SAVINGS,2022-03-03,B3,OK,N
AT112,C1111,A2111,41706.9,PENDING,CURRENT,2024-10-23,B3,OK,N
AT113,C1112,A2112,1287.14,INACTIVE,LOAN,2025-05-22,B13,OK,N
AT114,C1113,A2113,45429.57,PENDING,SAVINGS,2020-02-20,B10,OK,N
AT115,C1114,A2114,27268.48,PENDING,CURRENT,2023-06-03,B14,OK,N
AT116,C1115,A2115,36087.81,INACTIVE,LOAN,2024-02-14,B8,OK,N
AT117,C1116,A2116,22220.93,ACTIVE,LOAN,2022-10-04,B16,OK,Y
AT118,C1117,A2117,20055.94,INACTIVE,SAVINGS,2023-08-19,B2,OK,Y
AT119,C1118,A2118,19184.62,PENDING,LOAN,2024-06-22,B4,OK,N
AT120,C1119,A2119,31115.11,ACTIVE,LOAN,2021-11-16,B8,OK,Y
AT121,C1120,A2120,,INACTIVE,CURRENT,2022-11-11,B15,OK,Y
AT122,C1121,A2121,13653.57,ACTIVE,SAVINGS,2025-05-28,B12,OK,Y
AT123,C1122,A2122,29058.74,ACTIVE,SAVINGS,2025-04-06,B12,OK,Y
AT124,C1123,A2123,26737.61,INACTIVE,SAVINGS,2022-10-19,B15,OK,N
AT125,C1124,A2124,7260.09,PENDING,SAVINGS,2025-06-10,B12,OK,Y
AT126,C1125,A2125,39928.22,ACTIVE,SAVINGS,2024-09-04,B1,,Y
AT127,C1126,A2126,5149.71,INACTIVE,LOAN,2021-08-30,B13,OK,Y
AT128,C1127,A2127,40637.81,INACTIVE,SAVINGS,2021-07-06,B4,OK,N
AT129,C1128,A2128,24454.92,INACTIVE,SAVINGS,2023-01-18,B11,OK,N
AT130,C1129,A2129,44734.47,ACTIVE,SAVINGS,2022-07-31,B3,OK,N
AT131,C1130,A2130,44799.51,PENDING,CURRENT,2023-04-22,B3,OK,N
AT132,C1131,A2131,7491.37,ACTIVE,SAVINGS,2022-12-04,B14,OK,Y
AT133,C1132,A2132,39983.2,PENDING,LOAN,2021-01-04,B17,OK,N
AT134,C1133,A2133,34197.31,INACTIVE,LOAN,2023-12-19,B4,OK,N
AT135,C1134,A2134,19524.21,ACTIVE,CURRENT,2020-05-23,B19,OK,N
AT136,C1135,A2135,9870.39,INACTIVE,LOAN,2023-04-08,B20,OK,N
AT137,C1136,A2136,22246.68,INACTIVE,CURRENT,2020-04-01,B14,OK,Y
AT138,C1137,A2137,31749.08,PENDING,CURRENT,2023-08-03,B17,OK,N
AT139,C1138,A2138,43257.88,ACTIVE,CURRENT,2022-03-13,B18,OK,N
AT140,C1139,A2139,8915.61,ACTIVE,LOAN,2020-11-22,B2,OK,Y
AT141,C1140,A2140,49363.07,ACTIVE,LOAN,2024-04-13,B5,OK,N
AT142,C1141,A2141,13433.72,PENDING,SAVINGS,2020-04-15,B9,OK,Y
AT143,C1142,A2142,28121.2,ACTIVE,CURRENT,2021-02-13,B3,OK,N
AT144,C1143,A2143,2593.6,INACTIVE,CURRENT,2023-04-29,B17,OK,Y
AT145,C1144,A2144,32830.95,PENDING,CURRENT,2021-01-14,B8,OK,Y
AT146,C1145,A2145,3892.66,PENDING,SAVINGS,2024-01-09,B7,OK,Y
AT147,C1146,A2146,7568.94,ACTIVE,SAVINGS,2022-02-03,B3,OK,N
AT148,C1147,A2147,5149.38,PENDING,SAVINGS,2021-11-03,B19,OK,N
AT149,C1148,A2148,4983.94,INACTIVE,CURRENT,2022-03-10,B20,OK,Y
AT150,C1149,A2149,21658.82,PENDING,CURRENT,2020-06-20,B8,OK,N
AT151,C1150,A2150,37065.71,ACTIVE,CURRENT,2022-08-10,B5,,Y
AT152,C1151,A2151,25260.19,PENDING,LOAN,2025-06-13,B5,OK,Y
AT153,C1152,A2152,47448.04,INACTIVE,CURRENT,2022-03-14,B13,OK,N
AT154,C1153,A2153,8973.61,INACTIVE,SAVINGS,2024-09-30,B5,OK,Y
AT155,C1154,A2154,22550.63,PENDING,CURRENT,2023-03-29,B14,OK,N
AT156,C1155,A2155,9457.1,PENDING,SAVINGS,2020-12-01,B17,OK,Y
AT157,C1156,A2156,35419.52,INACTIVE,SAVINGS,2020-05-17,B8,OK,Y
AT158,C1157,A2157,12377.74,ACTIVE,CURRENT,2021-05-03,B3,OK,N
AT159,C1158,A2158,22553.76,ACTIVE,SAVINGS,2022-02-04,B11,OK,N
AT160,C1159,A2159,49336.07,ACTIVE,SAVINGS,2020-06-16,B19,OK,N
AT161,C1160,A2160,,INACTIVE,LOAN,2025-04-15,B7,OK,N
AT162,C1161,A2161,30456.03,ACTIVE,SAVINGS,2021-05-09,B1,OK,Y
AT163,C1162,A2162,42279.28,PENDING,SAVINGS,2020-10-01,B7,OK,N
AT164,C1163,A2163,1019.99,PENDING,LOAN,2020-11-09,B13,OK,Y
AT165,C1164,A2164,42506.46,PENDING,SAVINGS,2025-06-13,B4,OK,N
AT166,C1165,A2165,3774.72,INACTIVE,CURRENT,2020-05-11,B19,OK,N
AT167,C1166,A2166,22977.3,ACTIVE,CURRENT,2022-05-03,B11,OK,Y
AT168,C1167,A2167,29727.99,PENDING,LOAN,2024-12-04,B18,OK,N
AT169,C1168,A2168,12828.87,PENDING,SAVINGS,2020-10-26,B1,OK,N
AT170,C1169,A2169,21092.84,INACTIVE,LOAN,2025-04-15,B8,OK,N
AT171,C1170,A2170,12772.35,ACTIVE,LOAN,2023-12-27,B19,OK,N
AT172,C1171,A2171,16334.33,PENDING,LOAN,2025-04-02,B6,OK,Y
AT173,C1172,A2172,7259.51,PENDING,CURRENT,2023-04-07,B13,OK,Y
AT174,C1173,A2173,1222.24,INACTIVE,CURRENT,2020-11-17,B17,OK,N
AT175,C1174,A2174,20604.61,ACTIVE,LOAN,2020-11-14,B5,OK,Y
AT176,C1175,A2175,48969.14,INACTIVE,CURRENT,2024-03-05,B3,,Y
AT177,C1176,A2176,24117.02,ACTIVE,CURRENT,2021-12-10,B19,OK,N
AT178,C1177,A2177,49365.79,ACTIVE,SAVINGS,2022-04-10,B1,OK,Y
AT179,C1178,A2178,14922.04,INACTIVE,CURRENT,2020-12-25,B3,OK,Y
AT180,C1179,A2179,11877.32,ACTIVE,LOAN,2020-09-22,B18,OK,N
AT181,C1180,A2180,40667.94,ACTIVE,CURRENT,2022-03-01,B3,OK,Y
AT182,C1181,A2181,39420.69,PENDING,LOAN,2021-03-31,B18,OK,Y
AT183,C1182,A2182,4491.0,ACTIVE,CURRENT,2025-02-08,B10,OK,Y
AT184,C1183,A2183,16694.14,PENDING,LOAN,2024-04-09,B11,OK,Y
AT185,C1184,A2184,18835.6,ACTIVE,CURRENT,2022-10-14,B19,OK,N
AT186,C1185,A2185,15896.25,INACTIVE,SAVINGS,2022-06-16,B18,OK,Y
AT187,C1186,A2186,7317.14,INACTIVE,LOAN,2024-08-14,B14,OK,Y
AT188,C1187,A2187,20373.52,INACTIVE,CURRENT,2022-10-22,B4,OK,Y
AT189,C1188,A2188,22670.94,ACTIVE,LOAN,2023-08-15,B5,OK,Y
AT190,C1189,A2189,32738.35,ACTIVE,CURRENT,2020-06-14,B3,OK,Y
AT191,C1190,A2190,12575.24,ACTIVE,SAVINGS,2024-11-27,B20,OK,Y
AT192,C1191,A2191,32777.05,PENDING,CURRENT,2023-02-09,B1,OK,N
AT193,C1192,A2192,29010.52,INACTIVE,LOAN,2024-04-04,B1,OK,Y
AT194,C1193,A2193,2069.44,INACTIVE,SAVINGS,2024-07-15,B13,OK,N
AT195,C1194,A2194,7267.09,PENDING,CURRENT,2020-08-09,B5,OK,N
AT196,C1195,A2195,20494.68,PENDING,SAVINGS,2024-01-10,B12,OK,Y
AT197,C1196,A2196,36524.98,INACTIVE,SAVINGS,2020-04-27,B5,OK,Y
AT198,C1197,A2197,38202.84,ACTIVE,LOAN,2021-01-14,B18,OK,Y
AT199,C1198,A2198,27815.57,PENDING,LOAN,2023-08-25,B10,OK,N
AT200,C1199,A2199,15341.0,PENDING,CURRENT,2024-03-14,B3,OK,Y
AT201,C1200,A2200,,INACTIVE,CURRENT,2024-06-13,B14,,N
AT202,C1201,A2201,11456.49,ACTIVE,SAVINGS,2020-09-23,B14,OK,N
AT203,C1202,A2202,5680.6,INACTIVE,CURRENT,2024-06-10,B9,OK,Y
AT204,C1203,A2203,35282.79,PENDING,SAVINGS,2024-01-12,B18,OK,N
AT205,C1204,A2204,20110.7,PENDING,LOAN,2022-01-21,B8,OK,N
AT206,C1205,A2205,29981.25,PENDING,SAVINGS,2023-02-12,B16,OK,Y
AT207,C1206,A2206,26409.24,PENDING,SAVINGS,2021-07-05,B17,OK,Y
AT208,C1207,A2207,6520.7,ACTIVE,CURRENT,2024-03-07,B15,OK,N
AT209,C1208,A2208,31137.73,PENDING,LOAN,2021-07-05,B2,OK,N
AT210,C1209,A2209,18763.55,INACTIVE,LOAN,2022-10-28,B11,OK,N
AT211,C1210,A2210,31309.87,ACTIVE,SAVINGS,2023-10-28,B2,OK,N
AT212,C1211,A2211,19893.18,ACTIVE,SAVINGS,2025-04-22,B15,OK,N
AT213,C1212,A2212,27426.81,INACTIVE,LOAN,2023-07-23,B13,OK,Y
AT214,C1213,A2213,43680.97,INACTIVE,SAVINGS,2023-12-06,B17,OK,N
AT215,C1214,A2214,22444.21,INACTIVE,LOAN,2021-02-07,B8,OK,N
AT216,C1215,A2215,7148.39,ACTIVE,LOAN,2022-09-03,B9,OK,Y
AT217,C1216,A2216,10243.08,INACTIVE,LOAN,2023-10-22,B20,OK,N
AT218,C1217,A2217,30604.37,PENDING,CURRENT,2022-06-28,B14,OK,N
AT219,C1218,A2218,10666.72,ACTIVE,CURRENT,2022-04-03,B15,OK,Y
AT220,C1219,A2219,27102.33,INACTIVE,SAVINGS,2021-11-01,B14,OK,N
AT221,C1220,A2220,7185.26,INACTIVE,CURRENT,2024-02-13,B6,OK,Y
AT222,C1221,A2221,37969.27,INACTIVE,CURRENT,2021-03-27,B12,OK,Y
AT223,C1222,A2222,37908.66,ACTIVE,CURRENT,2020-07-27,B9,OK,Y
AT224,C1223,A2223,48477.97,ACTIVE,CURRENT,2020-12-15,B19,OK,N
AT225,C1224,A2224,42483.0,ACTIVE,CURRENT,2022-10-27,B19,OK,Y
AT226,C1225,A2225,19183.09,PENDING,SAVINGS,2023-06-17,B6,,Y
AT227,C1226,A2226,25565.79,ACTIVE,LOAN,2024-10-14,B1,OK,Y
AT228,C1227,A2227,27615.7,ACTIVE,LOAN,2020-07-20,B11,OK,Y
AT229,C1228,A2228,14182.16,INACTIVE,SAVINGS,2023-07-22,B17,OK,Y
AT230,C1229,A2229,43791.01,ACTIVE,SAVINGS,2020-06-09,B16,OK,Y
AT231,C1230,A2230,18232.92,ACTIVE,CURRENT,2024-02-13,B5,OK,N
AT232,C1231,A2231,39899.7,INACTIVE,LOAN,2020-04-15,B3,OK,N
AT233,C1232,A2232,23237.4,PENDING,SAVINGS,2025-05-24,B13,OK,N
AT234,C1233,A2233,46831.3,ACTIVE,SAVINGS,2021-12-01,B4,OK,N
AT235,C1234,A2234,8818.97,ACTIVE,SAVINGS,2024-08-18,B14,OK,Y
AT236,C1235,A2235,26157.37,PENDING,LOAN,2021-10-05,B5,OK,N
AT237,C1236,A2236,41199.99,PENDING,LOAN,2020-03-19,B10,OK,Y
AT238,C1237,A2237,29353.24,ACTIVE,SAVINGS,2022-01-31,B14,OK,Y
AT239,C1238,A2238,33312.61,PENDING,SAVINGS,2022-07-13,B13,OK,N
AT240,C1239,A2239,31233.08,INACTIVE,CURRENT,2020-10-05,B16,OK,Y
AT241,C1240,A2240,,ACTIVE,CURRENT,2022-12-05,B10,OK,Y
AT242,C1241,A2241,21645.42,PENDING,SAVINGS,2025-03-07,B12,OK,N
AT243,C1242,A2242,37959.92,ACTIVE,SAVINGS,2024-09-19,B10,OK,Y
AT244,C1243,A2243,48678.56,INACTIVE,SAVINGS,2023-09-27,B4,OK,Y
AT245,C1244,A2244,19461.94,INACTIVE,SAVINGS,2023-07-29,B3,OK,N
AT246,C1245,A2245,39668.34,ACTIVE,CURRENT,2023-11-05,B1,OK,Y
AT247,C1246,A2246,17208.13,PENDING,SAVINGS,2021-03-07,B5,OK,Y
AT248,C1247,A2247,46112.66,PENDING,LOAN,2025-01-03,B4,OK,N
AT249,C1248,A2248,9060.63,INACTIVE,SAVINGS,2021-11-29,B14,OK,N
AT250,C1249,A2249,15068.13,ACTIVE,LOAN,2024-05-20,B9,OK,Y
AT251,C1250,A2250,29680.67,PENDING,CURRENT,2021-12-13,B8,,N
AT252,C1251,A2251,18535.26,ACTIVE,SAVINGS,2021-10-08,B11,OK,N
AT253,C1252,A2252,3391.26,PENDING,LOAN,2022-02-03,B3,OK,Y
AT254,C1253,A2253,47572.44,ACTIVE,SAVINGS,2021-07-26,B15,OK,Y
AT255,C1254,A2254,47516.86,ACTIVE,CURRENT,2021-01-08,B2,OK,N
AT256,C1255,A2255,15251.88,PENDING,LOAN,2022-11-07,B20,OK,N
AT257,C1256,A2256,18851.22,PENDING,SAVINGS,2025-03-16,B10,OK,Y
AT258,C1257,A2257,24286.28,PENDING,CURRENT,2022-09-21,B4,OK,Y
AT259,C1258,A2258,43711.55,ACTIVE,LOAN,2024-02-03,B20,OK,N
AT260,C1259,A2259,45907.53,ACTIVE,LOAN,2022-02-21,B13,OK,N
AT261,C1260,A2260,33611.96,PENDING,LOAN,2024-06-22,B18,OK,Y
AT262,C1261,A2261,30358.59,ACTIVE,SAVINGS,2020-12-15,B7,OK,N
AT263,C1262,A2262,4876.29,PENDING,LOAN,2024-08-19,B17,OK,Y
AT264,C1263,A2263,6511.62,INACTIVE,SAVINGS,2023-06-26,B14,OK,N
AT265,C1264,A2264,44419.91,PENDING,CURRENT,2024-12-29,B8,OK,N
AT266,C1265,A2265,35220.73,ACTIVE,LOAN,2023-05-21,B14,OK,N
AT267,C1266,A2266,34514.51,ACTIVE,LOAN,2020-03-25,B4,OK,Y
AT268,C1267,A2267,307.5,INACTIVE,CURRENT,2024-06-25,B3,OK,Y
AT269,C1268,A2268,21805.32,ACTIVE,LOAN,2020-07-01,B2,OK,Y
AT270,C1269,A2269,5216.38,ACTIVE,CURRENT,2023-12-08,B14,OK,Y
AT271,C1270,A2270,10337.35,PENDING,LOAN,2020-04-24,B17,OK,N
AT272,C1271,A2271,22815.38,INACTIVE,LOAN,2022-04-11,B13,OK,Y
AT273,C1272,A2272,48732.4,ACTIVE,LOAN,2020-03-17,B11,OK,Y
AT274,C1273,A2273,241.24,PENDING,CURRENT,2025-02-12,B6,OK,Y
AT275,C1274,A2274,36958.49,PENDING,LOAN,2022-05-07,B13,OK,N
AT276,C1275,A2275,43193.89,ACTIVE,LOAN,2021-11-04,B8,,N
AT277,C1276,A2276,22051.1,INACTIVE,CURRENT,2022-01-30,B19,OK,Y
AT278,C1277,A2277,14034.14,ACTIVE,LOAN,2023-08-23,B11,OK,Y
AT279,C1278,A2278,33458.73,ACTIVE,SAVINGS,2024-05-26,B4,OK,Y
AT280,C1279,A2279,8884.54,PENDING,LOAN,2021-11-07,B14,OK,N
AT281,C1280,A2280,,ACTIVE,LOAN,2024-04-20,B16,OK,Y
AT282,C1281,A2281,13322.95,INACTIVE,CURRENT,2023-05-14,B18,OK,N
AT283,C1282,A2282,25121.89,INACTIVE,SAVINGS,2023-11-13,B16,OK,Y
AT284,C1283,A2283,36373.66,PENDING,CURRENT,2021-04-23,B19,OK,N
AT285,C1284,A2284,29101.75,PENDING,SAVINGS,2022-05-19,B5,OK,N
AT286,C1285,A2285,46360.15,PENDING,SAVINGS,2022-04-13,B12,OK,N
AT287,C1286,A2286,39623.8,PENDING,CURRENT,2021-05-28,B3,OK,Y
AT288,C1287,A2287,46892.18,PENDING,SAVINGS,2022-09-13,B16,OK,N
AT289,C1288,A2288,34394.93,PENDING,LOAN,2023-08-22,B7,OK,N
AT290,C1289,A2289,9320.53,INACTIVE,SAVINGS,2022-07-04,B19,OK,N
AT291,C1290,A2290,41577.26,PENDING,LOAN,2024-11-04,B5,OK,N
AT292,C1291,A2291,393.88,ACTIVE,LOAN,2022-03-30,B13,OK,N
AT293,C1292,A2292,29482.76,ACTIVE,LOAN,2021-02-24,B1,OK,Y
AT294,C1293,A2293,28774.05,INACTIVE,LOAN,2023-03-31,B20,OK,Y
AT295,C1294,A2294,12559.33,INACTIVE,LOAN,2023-06-07,B20,OK,N
AT296,C1295,A2295,10692.45,PENDING,CURRENT,2020-12-21,B17,OK,N
AT297,C1296,A2296,9394.19,PENDING,SAVINGS,2022-09-17,B2,OK,N
AT298,C1297,A2297,8549.93,ACTIVE,CURRENT,2020-04-20,B15,OK,N
AT299,C1298,A2298,2910.69,INACTIVE,LOAN,2023-06-14,B5,OK,N
AT300,C1299,A2299,39285.04,INACTIVE,CURRENT,2023-07-09,B20,OK,N
AT301,C1300,A2300,67.29,PENDING,LOAN,2020-10-16,B14,,Y
AT302,C1301,A2301,42139.68,PENDING,LOAN,2021-10-28,B17,OK,Y
AT303,C1302,A2302,47527.82,ACTIVE,CURRENT,2022-11-26,B13,OK,N
AT304,C1303,A2303,5290.55,PENDING,LOAN,2020-04-14,B12,OK,Y
AT305,C1304,A2304,3366.32,ACTIVE,CURRENT,2023-04-26,B10,OK,Y
AT306,C1305,A2305,39219.2,PENDING,SAVINGS,2020-02-28,B12,OK,Y
AT307,C1306,A2306,38566.94,ACTIVE,SAVINGS,2020-05-23,B6,OK,N
AT308,C1307,A2307,15736.85,INACTIVE,CURRENT,2021-07-09,B18,OK,Y
AT309,C1308,A2308,3703.13,INACTIVE,LOAN,2020-02-13,B6,OK,Y
AT310,C1309,A2309,37159.32,INACTIVE,SAVINGS,2022-04-21,B17,OK,N
AT311,C1310,A2310,48040.1,INACTIVE,LOAN,2020-01-09,B9,OK,Y
AT312,C1311,A2311,4411.29,INACTIVE,CURRENT,2023-06-10,B19,OK,Y
